geo	series	samn	donor_id	has_samn	has_donor	samn_is_cross	title	characteristics	molecule	instrument	data_processing	library_source	extract_protocol	scprob	lib_size_a3
GSM2072375	GSE78563	SAMN04284276	encdo064aaa	TRUE	TRUE	TRUE	total RNA-seq from urinary bladder (ENCLB175ZZZ)	tissue_type: urinary bladder,biomaterial_type: tissue,description: Human fetal urinary bladder,biosample encode accession: ENCBS047RNA (SAMN04284276),age: 20 week,donor_id: ENCDO064AAA,dev stage: fetal,Sex: female,lab: Thomas Gingeras, CSHL,link: ENCBS047RNA at ENCODE; https://www.encodeproject.org/ENCBS047RNA/,link: Derived from ENCODE donor ENCDO064AAA; https://www.encodeproject.org/ENCDO064AAA/,link: data sheet; https://www.encodeproject.org/documents/16bfe769-b294-4e60-848f-a4c957bcd35e/@@download/attachment/B608420.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244010-50	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	data sheet: https://www.encodeproject.org/documents/28fef8e0-e171-450d-b66d-e3d199531cf2/@@download/attachment/Ambion-ERCC-Mix1.pdf,extraction method: see document,general protocol: https://www.encodeproject.org/documents/da35a713-4237-493f-a83d-831a4f5cc028/@@download/attachment/SID38136.pdf	0.023049793382417683	43718559
GSM2072388	GSE78570	SAMN04284297	encdo067aaa	TRUE	TRUE	TRUE	total RNA-seq from lung (ENCLB190ZZZ)	tissue_type: lung,biomaterial_type: tissue,description: Human fetal lung,biosample encode accession: ENCBS062RNA (SAMN04284297),age: 24 week,donor_id: ENCDO067AAA,dev stage: fetal,Sex: female,lab: Thomas Gingeras, CSHL,link: ENCBS062RNA at ENCODE; https://www.encodeproject.org/ENCBS062RNA/,link: Derived from ENCODE donor ENCDO067AAA; https://www.encodeproject.org/ENCDO067AAA/,link: data sheet; https://www.encodeproject.org/documents/3c6b1e45-35dd-4d21-bb7b-7cc95dace958/@@download/attachment/B608330.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244152-50	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	data sheet: https://www.encodeproject.org/documents/28fef8e0-e171-450d-b66d-e3d199531cf2/@@download/attachment/Ambion-ERCC-Mix1.pdf,extraction method: see document,general protocol: https://www.encodeproject.org/documents/355395aa-caef-4512-9af4-11e59e379bed/@@download/attachment/SID38149.pdf	0.05322370985558271	49146514
GSM2072567	GSE78661	SAMN04284463	NA	TRUE	FALSE	TRUE	polyA mRNA RNA-seq from NCI-H460 (ENCLB794DVD)	line: NCI-H460,biomaterial_type: immortalized cell line,description: Epithelial-like large cell lung carcinoma immortalized cells from a 37 year old male.,biosample encode accession: ENCBS641PGO (SAMN04284463),age: 37 year,dev stage: adult,Sex: male,lab: Thomas Gingeras, CSHL,subcellular fraction term name: nucleus,link: ENCBS641PGO at ENCODE; https://www.encodeproject.org/ENCBS641PGO/,link: Derived from ENCODE donor ENCDO337AAA; https://www.encodeproject.org/ENCDO337AAA/,link: ENCODE dbxrefs Cellosaurus CVCL_0459; http://web.expasy.org/cellosaurus/CVCL_0459,link: ATCC sample source; http://www.atcc.org/products/all/HTB-177.aspx	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/da942e1d-25f3-4387-8d6d-5df618a4682b/@@download/attachment/293552.pdf	0	59831470
GSM2072585	GSE78670	SAMN04284355	encdo336aaa	TRUE	TRUE	TRUE	total RNA-seq from fibroblast of arm (ENCLB011AUM)	cell_type: fibroblast of arm,biomaterial_type: primary cell,description: These are primary fibroblasts taken from the PGP1 donor from the Personal Genome Project (PGP).,biosample encode accession: ENCBS367AAA (SAMN04284355),age: 53 year,donor_id: ENCDO336AAA,dev stage: adult,Sex: male,lab: Thomas Gingeras, CSHL,link: ENCBS367AAA at ENCODE; https://www.encodeproject.org/ENCBS367AAA/,link: Derived from ENCODE donor ENCDO336AAA; https://www.encodeproject.org/ENCDO336AAA/,link: ENCODE dbxrefs Cellosaurus CVCL_F183; http://web.expasy.org/cellosaurus/CVCL_F183,link: Coriell sample source; http://www.ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=GM23248&PgId=166	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	data sheet: https://www.encodeproject.org/documents/28fef8e0-e171-450d-b66d-e3d199531cf2/@@download/attachment/Ambion-ERCC-Mix1.pdf,extraction method: see document,general protocol: https://www.encodeproject.org/documents/66e15587-02f1-4b08-b9a6-a142304af2cd/@@download/attachment/291181.pdf	0.002149509618873282	70112785
GSM2138815	GSE80908	SAMN04875916	NA	TRUE	FALSE	TRUE	shRNA RNA-seq from HepG2 (ENCLB935HOL)	antibody: Control,line: HepG2,biomaterial_type: immortalized cell line,description: RNA-seq on HepG2 cells treated with an Control shRNA against no target (NT-BGHLV12-02-94),biosample encode accession: ENCBS638ASL (SAMN04875916),age: 15 year,dev stage: child,Sex: male,health state: hepatocellular carcinoma,lab: Brenton Graveley, UConn,link: ENCBS638ASL at ENCODE; https://www.encodeproject.org/ENCBS638ASL/,link: Derived from ENCODE donor ENCDO000AAC; https://www.encodeproject.org/ENCDO000AAC/,link: general protocol; https://www.encodeproject.org/documents/f08f3256-32f0-4a46-8965-6cf9ac38a400/@@download/attachment/Graveley-HepG2-growth-protocol.pdf,link: ENCODE dbxrefs Cellosaurus CVCL_0027; http://web.expasy.org/cellosaurus/CVCL_0027	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270),general protocol: https://www.encodeproject.org/documents/dcc706b7-cbd2-4664-bb32-c294f442ee18/@@download/attachment/L-NT-BGHLV12-94.pdf	0.011506307358292053	29389681
GSM2138877	GSE80939	SAMN04875780	NA	TRUE	FALSE	TRUE	shRNA RNA-seq from K562 (ENCLB765ANP)	antibody: Control,line: K562,biomaterial_type: immortalized cell line,description: RNA-seq on K562 cells treated with an Control shRNA against no target. (nontarget-LV08-2),biosample encode accession: ENCBS746YXR (SAMN04875780),age: 53 year,dev stage: adult,Sex: female,health state: chronic myelogenous leukemia (CML),lab: Brenton Graveley, UConn,link: ENCBS746YXR at ENCODE; https://www.encodeproject.org/ENCBS746YXR/,link: Derived from ENCODE donor ENCDO000AAD; https://www.encodeproject.org/ENCDO000AAD/,link: growth protocol; https://www.encodeproject.org/documents/24b67f9c-c791-4a2a-a33b-419794e4681a/@@download/attachment/Graveley-K562-growth-protocol.pdf,link: ENCODE dbxrefs Cellosaurus CVCL_0004; http://web.expasy.org/cellosaurus/CVCL_0004	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270),general protocol: https://www.encodeproject.org/documents/7a1f6d52-e536-4ca0-aa73-9318a524bac6/@@download/attachment/L-Nontarget-LV08-1-1.pdf	0.003765502801289184	23142957
GSM2071275	GSE78295	SAMN04284291	encdo067aaa	TRUE	TRUE	TRUE	small RNA-seq from metanephros (ENCLB226ZZZ)	tissue_type: metanephros,biomaterial_type: tissue,description: Human fetal kidney,biosample encode accession: ENCBS058RNA (SAMN04284291),age: 24 week,donor_id: ENCDO067AAA,dev stage: fetal,Sex: female,lab: Thomas Gingeras, CSHL,link: ENCBS058RNA at ENCODE; https://www.encodeproject.org/ENCBS058RNA/,link: Derived from ENCODE donor ENCDO067AAA; https://www.encodeproject.org/ENCDO067AAA/,link: data sheet; https://www.encodeproject.org/documents/c05f7e9f-0cdd-4e20-8a92-648f6c6e5d42/@@download/attachment/B608328.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244142-10	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/8651ccef-4f82-49ae-a749-283c9a4a0794/@@download/attachment/SID38485.pdf	0.04146683361378147	21603976
GSM2071456	GSE78411	SAMN04284350	NA	TRUE	FALSE	TRUE	small RNA-seq from SK-MEL-5 (ENCLB263FZA)	line: SK-MEL-5,biomaterial_type: immortalized cell line,description: An immortalized malignant melanoma cell line derived from a metastatic axillary node of a 24 year old female.,biosample encode accession: ENCBS324XRL (SAMN04284350),age: 24 year,dev stage: adult,Sex: female,lab: Thomas Gingeras, CSHL,subcellular fraction term name: cytosol,link: ENCBS324XRL at ENCODE; https://www.encodeproject.org/ENCBS324XRL/,link: Derived from ENCODE donor ENCDO338AAA; https://www.encodeproject.org/ENCDO338AAA/,link: ENCODE dbxrefs Cellosaurus CVCL_0527; http://web.expasy.org/cellosaurus/CVCL_0527,link: ATCC sample source; http://www.atcc.org/products/all/HTB-70.aspx	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/409e94a6-abd4-46bf-b6ab-bdd593de231d/@@download/attachment/LID294017.pdf	0.4164412482471076	15454669
GSM2072378	GSE78565	SAMN04284283	encdo065aaa	TRUE	TRUE	TRUE	total RNA-seq from diencephalon (ENCLB180ZZZ)	tissue_type: diencephalon,biomaterial_type: tissue,description: Human fetal diencephalon,biosample encode accession: ENCBS052RNA (SAMN04284283),age: 22 week,donor_id: ENCDO065AAA,dev stage: fetal,Sex: male,health state: unknown,lab: Thomas Gingeras, CSHL,link: ENCBS052RNA at ENCODE; https://www.encodeproject.org/ENCBS052RNA/,link: Derived from ENCODE donor ENCDO065AAA; https://www.encodeproject.org/ENCDO065AAA/,link: data sheet; https://www.encodeproject.org/documents/d6e16e97-3fd8-4645-aecb-757810e1e5a1/@@download/attachment/B608418.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244049-10	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	data sheet: https://www.encodeproject.org/documents/28fef8e0-e171-450d-b66d-e3d199531cf2/@@download/attachment/Ambion-ERCC-Mix1.pdf,extraction method: see document,general protocol: https://www.encodeproject.org/documents/a982b7ca-9d12-47ff-a709-0db025a590c8/@@download/attachment/SID38145.pdf	0.018968308936747856	47240545
GSM2138782	GSE80892	SAMN04875914	NA	TRUE	FALSE	TRUE	shRNA RNA-seq from HepG2 (ENCLB634VMX)	antibody: Control,line: HepG2,biomaterial_type: immortalized cell line,description: RNA-seq on HepG2 cells treated with an Control shRNA against no target. (NT_BGHLV14-2),biosample encode accession: ENCBS628IQK (SAMN04875914),age: 15 year,dev stage: child,Sex: male,health state: hepatocellular carcinoma,lab: Brenton Graveley, UConn,link: ENCBS628IQK at ENCODE; https://www.encodeproject.org/ENCBS628IQK/,link: Derived from ENCODE donor ENCDO000AAC; https://www.encodeproject.org/ENCDO000AAC/,link: general protocol; https://www.encodeproject.org/documents/f08f3256-32f0-4a46-8965-6cf9ac38a400/@@download/attachment/Graveley-HepG2-growth-protocol.pdf,link: ENCODE dbxrefs Cellosaurus CVCL_0027; http://web.expasy.org/cellosaurus/CVCL_0027	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270),general protocol: https://www.encodeproject.org/documents/5d5c566e-d572-4a61-bb40-33341afbed1e/@@download/attachment/L-NT_BGHLV14-2.pdf	0.007512393121208397	22765073
GSM2071266	GSE78291	SAMN04284280	encdo070aaa	TRUE	TRUE	TRUE	small RNA-seq from cerebellum (ENCLB218ZZZ)	tissue_type: cerebellum,biomaterial_type: tissue,description: Human fetal cerebellum,biosample encode accession: ENCBS050RNA (SAMN04284280),age: 19 week,donor_id: ENCDO070AAA,dev stage: fetal,Sex: female,lab: Thomas Gingeras, CSHL,link: ENCBS050RNA at ENCODE; https://www.encodeproject.org/ENCBS050RNA/,link: Derived from ENCODE donor ENCDO070AAA; https://www.encodeproject.org/ENCDO070AAA/,link: data sheet; https://www.encodeproject.org/documents/657bacda-82d0-4e07-82a9-6364347cc42a/@@download/attachment/B608269.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244039-50	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/bf258b06-374d-43f4-9f60-1f883e759bd2/@@download/attachment/SID38469.pdf	0.24998261734578245	24450118
GSM2071278	GSE78297	SAMN04284294	encdo064aaa	TRUE	TRUE	TRUE	small RNA-seq from lung (ENCLB229ZZZ)	tissue_type: lung,biomaterial_type: tissue,description: Human fetal lung,biosample encode accession: ENCBS061RNA (SAMN04284294),age: 20 week,donor_id: ENCDO064AAA,dev stage: fetal,Sex: female,lab: Thomas Gingeras, CSHL,link: ENCBS061RNA at ENCODE; https://www.encodeproject.org/ENCBS061RNA/,link: Derived from ENCODE donor ENCDO064AAA; https://www.encodeproject.org/ENCDO064AAA/,link: data sheet; https://www.encodeproject.org/documents/c9487fed-ae0e-408b-93ca-04caac6a7334/@@download/attachment/B608329.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244152-50	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/8ab06d1b-1a83-4add-8e05-3e0771af97ba/@@download/attachment/SID38498.pdf	0.15325774258838723	32415504
GSM2071291	GSE78304	SAMN04284313	encdo063aaa	TRUE	TRUE	TRUE	small RNA-seq from thyroid gland (ENCLB245ZZZ)	tissue_type: thyroid gland,biomaterial_type: tissue,description: Human fetal thyroid gland,biosample encode accession: ENCBS077RNA (SAMN04284313),age: 37 week,donor_id: ENCDO063AAA,dev stage: fetal,Sex: female,lab: Thomas Gingeras, CSHL,link: ENCBS077RNA at ENCODE; https://www.encodeproject.org/ENCBS077RNA/,link: Derived from ENCODE donor ENCDO063AAA; https://www.encodeproject.org/ENCDO063AAA/,link: data sheet; https://www.encodeproject.org/documents/70fd29bf-7b52-462b-906b-42ec7befb202/@@download/attachment/B608424.pdf,link: BioChain sample source; http://www.biochain.com/index.php/catalogsearch/advanced/result/?catalog_number=R1244265-10	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: see document,general protocol: https://www.encodeproject.org/documents/218ac929-325f-4978-8326-b35737d8b1a3/@@download/attachment/SID38480.pdf	0.07353383285657775	21375418
GSM2072355	GSE78553	SAMN04284327	NA	TRUE	FALSE	TRUE	polyA mRNA RNA-seq from GM12878 (ENCLB042ZZZ)	line: GM12878,biomaterial_type: immortalized cell line,description: B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus,biosample encode accession: ENCBS090RNA (SAMN04284327),age: unknown,dev stage: adult,Sex: female,health state: unknown,lab: Ali Mortazavi, UCI,link: ENCBS090RNA at ENCODE; https://www.encodeproject.org/ENCBS090RNA/,link: Derived from ENCODE donor ENCDO000AAK; https://www.encodeproject.org/ENCDO000AAK/,link: growth protocol; https://www.encodeproject.org/documents/115993c6-3080-41bb-bb0f-93dec3200d3e/@@download/attachment/Growth_Protocol_for_GM12878_cells_used_for_the_RNA_evaluation.txt,link: ENCODE dbxrefs Cellosaurus CVCL_7526; http://web.expasy.org/cellosaurus/CVCL_7526,link: Coriell sample source; http://ccr.coriell.org/Sections/Search/Sample_Detail.aspx?Ref=GM12878&PgId=166	total RNA	Illumina HiSeq 2000	See GSM*_README.txt supplementary file linked below	transcriptomic	extraction method: Trizol (LifeTech cat#: 15596-018),data sheet: https://www.encodeproject.org/documents/75771109-b79e-43d5-9cc0-2dbf708a71f1/@@download/attachment/NIST-ERCC-Spikes.pdf, spike-in concentrations: https://www.encodeproject.org/documents/122fc48c-aec6-4113-9821-178a435a8646/@@download/attachment/NIST-ERCC-Pool15.tsv	0.009990446019923728	117262954
