"cluster_id","umano","mistral_n","mistral_b","mb_stabile","sev_u","sev_b","delta"
"cgroup_L5_4b901bf1","incoerente","dubbio","coerente",TRUE,3,1,2
"cgroup_L5_535d97f6","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_702a5dea","coerente","dubbio","coerente",TRUE,1,1,0
"cgroup_L5_7934174c","coerente","incoerente","incoerente",TRUE,1,3,-2
"cgroup_L5_b32ab7f6","coerente","dubbio","coerente",TRUE,1,1,0
"cgroup_L5_bd19fe42","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_efced505","dubbio","dubbio","dubbio",TRUE,2,2,0
"cgroup_L5_12212e41","incoerente","dubbio","coerente",TRUE,3,1,2
"cgroup_L5_2ec87595","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_35d1be10","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_41f7b088","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_dde29fb4","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_f97e50de","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_2987cdb6","dubbio","dubbio","dubbio",TRUE,2,2,0
"cgroup_L5_3ec58cd6","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_46a3a103","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_4753688f","dubbio","dubbio","dubbio",TRUE,2,2,0
"cgroup_L5_7805eee6","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_79a73ac5","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_889ec305","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_ba4af011","dubbio","coerente","coerente",TRUE,2,1,1
"cgroup_L5_bb8cb388","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_c5e86fe9","incoerente","coerente","dubbio",TRUE,3,2,1
"cgroup_L5_d7ad915e","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_dc7451b1","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_1bbf4b9b","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_29cb04f8","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_2ab433c8","dubbio","dubbio","coerente",TRUE,2,1,1
"cgroup_L5_3824dc37","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_3b91a21d","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_4f4d9051","coerente","dubbio","coerente",TRUE,1,1,0
"cgroup_L5_63e69fdc","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_7784bb43","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_79ce3bd1","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_b2affd22","dubbio","coerente","coerente",TRUE,2,1,1
"cgroup_L5_c054e202","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_004d293d","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_089ccae5","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_12228932","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_31308596","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_3eaa92c9","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_4041e3af","coerente","incoerente","incoerente",TRUE,1,3,-2
"cgroup_L5_479c6221","coerente","dubbio","coerente",TRUE,1,1,0
"cgroup_L5_82f82010","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_844de383","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_8958b27a","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_8c9339f5","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_99d7941a","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_a6fd82fa","dubbio","coerente","dubbio",TRUE,2,2,0
"cgroup_L5_a8015c98","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_a8ff7b6d","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_aa8c1d6d","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_c13b1103","dubbio","coerente","coerente",TRUE,2,1,1
"cgroup_L5_c860712d","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_d411c435","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_dd2a1a58","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_df599af1","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_f29dd3b3","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_f832048f","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_f956ef98","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_10344dfd","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_16525349","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_17b35bdc","dubbio","dubbio","coerente",TRUE,2,1,1
"cgroup_L5_17b55386","dubbio","coerente","coerente",TRUE,2,1,1
"cgroup_L5_2a225fda","dubbio","coerente","coerente",TRUE,2,1,1
"cgroup_L5_3370a794","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_3439da02","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_37942548","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_37ecd157","dubbio","coerente","coerente",TRUE,2,1,1
"cgroup_L5_3973fe03","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_3a625868","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_3b461817","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_3d8c29f4","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_3f0cc1fe","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_49e290ae","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_4be9e90d","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_522fa0c2","coerente","incoerente","incoerente",TRUE,1,3,-2
"cgroup_L5_538960a6","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_5927750b","coerente","incoerente","coerente",TRUE,1,1,0
"cgroup_L5_5e0c0fae","incoerente","incoerente","dubbio",TRUE,3,2,1
"cgroup_L5_74daf1c9","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_828ae0cb","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_8ac307e0","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_8b61f50b","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_93068469","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_96c9f7bf","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_988d478d","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_a4029927","incoerente","coerente","dubbio",TRUE,3,2,1
"cgroup_L5_a69fcae5","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_a747a14e","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_a7509255","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_a8d88150","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_ae11259e","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_b0066299","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_b5db4aff","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_b9c77320","coerente","incoerente","incoerente",TRUE,1,3,-2
"cgroup_L5_c040a36d","incoerente","coerente","dubbio",TRUE,3,2,1
"cgroup_L5_d2c64672","incoerente","coerente","dubbio",TRUE,3,2,1
"cgroup_L5_d5e39a5d","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_dcce160a","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_eba39954","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_f51ff620","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_fd0c6a79","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_00fd9348","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_034592d9","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_03d0ca7b","dubbio","incoerente","incoerente",TRUE,2,3,-1
"cgroup_L5_05322ba1","coerente","incoerente","incoerente",TRUE,1,3,-2
"cgroup_L5_1e8a735e","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_2248a891","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_24ae0579","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_28bee975","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_2d53def6","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_344e058f","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_356eedd3","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_3668c2c2","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_387b0d1a","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_3a58e5f5","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_3be7454c","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_3de56a79","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_3fa847fe","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_455fe91d","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_469db990","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_4d535f25","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_516200d1","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_522e9ebd","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_523e64b9","incoerente","incoerente","dubbio",TRUE,3,2,1
"cgroup_L5_545a48c6","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_56d531e8","incoerente","coerente","incoerente",TRUE,3,3,0
"cgroup_L5_5929f298","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_5b9a08fb","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_5d97d5b1","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_6b7b8076","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_6ee86f02","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_729b276d","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_79b3a442","dubbio","coerente","coerente",TRUE,2,1,1
"cgroup_L5_81b706c4","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_8341bee7","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_83b1f88c","incoerente","dubbio","incoerente",TRUE,3,3,0
"cgroup_L5_840b7e36","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_855ca642","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_862cd9b9","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_8eca612e","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_90db4e34","coerente","incoerente","dubbio",TRUE,1,2,-1
"cgroup_L5_92f4f307","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_964c6389","incoerente","dubbio","coerente",TRUE,3,1,2
"cgroup_L5_9bb4734d","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_9bdf0dcb","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_9de3f0ea","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_9f0ea111","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_a3c3e08c","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_a3f0c959","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_a739837c","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_aad8ed47","dubbio","coerente","coerente",TRUE,2,1,1
"cgroup_L5_ae969461","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_b3ccf1c1","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_b9e7806c","coerente","incoerente","incoerente",TRUE,1,3,-2
"cgroup_L5_bd40f34f","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_cacf5d1a","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_cf34c533","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_cfad03a8","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_d28620cd","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_d53bf74e","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_d631ee89","incoerente","incoerente","incoerente",TRUE,3,3,0
"cgroup_L5_d7abf612","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_d8006c5b","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_dd2a13de","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_debadb13","incoerente","coerente","coerente",TRUE,3,1,2
"cgroup_L5_e16bfa7f","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_e17c136b","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_e294a3bc","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_e7eebebd","incoerente","coerente","dubbio",TRUE,3,2,1
"cgroup_L5_ea4a1823","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_ee94648c","dubbio","dubbio","dubbio",TRUE,2,2,0
"cgroup_L5_eedd08cb","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_f2139c4f","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_f2481870","incoerente","dubbio","dubbio",TRUE,3,2,1
"cgroup_L5_f34ff8df","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_f56d966d","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_f640365a","coerente","dubbio","dubbio",TRUE,1,2,-1
"cgroup_L5_f9cc41b3","coerente","coerente","dubbio",TRUE,1,2,-1
"cgroup_L5_fea19ca0","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_ff45f67e","coerente","coerente","coerente",TRUE,1,1,0
"cgroup_L5_ff78d2a8","incoerente","dubbio","dubbio",TRUE,3,2,1
