"cluster_id","umano","mistral_b","motivo"
"cgroup_L5_6ee86f02","incoerente","coerente","Confermato: GSE181364 e GSE205812 sono confronti diretti paziente-vs-sano (materiale non specificato ma trattamento chiaro). GSE212613 e' esplicitamente 'Adipogenic Differentiation Day 10' su cellule di pazienti e donatori sani sottoposte a un protocollo di differenziazione in vitro — un modello sperimentale, non il confronto diretto malattia-vs-sano. Coerente con il pattern gia' documentato nel progetto per questa esatta malattia (spondilite anchilosante citata esplicitamente come caso di 'paziente contro modello in vitro'). Motivo del revisore regge."
"cgroup_L5_729b276d","incoerente","coerente","Confermato: sangue cordonale (GSE154377), tessuto placentare (GSE154414) e cellule progenitrici endoteliali isolate (GSE228990) sono tre compartimenti biologici distinti, nessuno sovrapponibile. L'I2 mediano basso (0.0) non e' un argomento a favore della coerenza: la consegna esplicita dice di giudicare se il contrasto ha senso, non quanto le stime siano statisticamente vicine. Il mismatch di materiale e' reale e verificabile sulle etichette."
"cgroup_L5_74daf1c9","incoerente","coerente","Confermato: GSE171638 ('Treg_Donor_1_OSCC' vs 'Treg_Donor_1_no_treatment') e un disegno di esposizione in vitro sullo STESSO donatore, su cellule Treg isolate -- non un caso-controllo di tessuto tumorale. Gli altri tre studi (GSE125866, GSE221398, GSE246050) confrontano tessuto tumorale di pazienti diversi contro mucosa normale. Materiale (cellule immunitarie isolate vs biopsia tissutale) e disegno (stesso donatore vs pazienti diversi) sono incompatibili. Meccanismo 6 corretto."
"cgroup_L5_7784bb43","incoerente","coerente","Confermato sulle etichette: GSE130580 usa cellule T helper isolate (sangue/immune), GSE193812 tessuto adiposo/cellule staminali adipose, GSE226146 endometrio in fase secretoria — tre compartimenti anatomici fra loro incompatibili sotto lo stesso nome di malattia (mecc.6). Anche GSE156067 ('PCOS Day 3/7/12') indica probabilmente un ulteriore materiale/disegno distinto (verosimile cumulo ovarico/ciclo), che rafforza il quadro. Le etichette confermano esattamente i tre studi citati come intrusi materiali."
"cgroup_L5_81b706c4","incoerente","coerente","Verificato riga per riga: il braccio 'Ishikawa-S33Y Paclitaxel/SM08502' (n=2) vs 'Ishikawa-S33Y Vehicle Control' (n=1) ha davvero un secondo farmaco (SM08502) nel trattato assente dal controllo — misura l'effetto combinato, non paclitaxel isolato. E' un solo braccio intruso su ~11 confronti puliti (paclitaxel vs DMSO/vehicle/saline su HS578T, altre linee endometriali, PDX), ma la regola del progetto e' esplicita: un solo confronto intruso rende il gruppo incoerente, purche' sia indicato. Il revisore lo ha fatto correttamente."
"cgroup_L5_82f82010","incoerente","coerente","Confermato: GSE154556 (biopsia cute), GSE175988 (cellule 'Unstimulated', verosimilmente PBMC di paziente), GSE182923 (paziente donna), GSE236746 (tendine di paziente con rottura) sono tutti tessuto/campioni di PAZIENTI diabetici vs sani. GSE89475 'Endothelial cells under diabetic conditions' vs 'Control endothelial cells' e' invece un modello sperimentale in vitro (linea endoteliale esposta a condizione diabetica, es. alto glucosio), non tessuto di paziente. Meccanismo 1 applicato correttamente dal revisore, l'intruso e' quello giusto."
"cgroup_L5_85083e38","incoerente","coerente","Confermato sulle etichette: GSE181029 (righe 498-536, il piu' pesante col 73% e Kish 1.8/10) e' interamente 'Neural progenitors'/'Neurons presumably dopaminergic' da portatori di mutazioni PARK2 vs controlli sani — sono neuroni/progenitori derivati da iPSC differenziati in vitro, non tessuto di paziente. GSE90469 (righe 549-551) e' 'Patient-Derived Dopamine Neurons' vs 'Untreated Healthy Dopamine Neurons' — anch'esso materiale differenziato in vitro nonostante il nome 'patient-derived'. Il resto del gruppo (GSE106608, 128177, 133101, 140089, 161199, 168496, 206308, 208347) e' invece tessuto cerebrale post-mortem/clinico. Mescolare pazienti clinici con modelli sperimentali iPSC e' mecc. 1, e qui l'intruso domina il peso del pool. Coerente con quanto gia' documentato nella storia del progetto per questo stesso cluster."
"cgroup_L5_871ae09e","incoerente","coerente","Confermato. GSE169241 riga 753-755: 'human heart, SARS-CoV-2 infected person' vs 'human ES-derived macrophage, No treatment' — tessuto cardiaco clinico infetto confrontato con una linea di macrofagi da ES cell mai nemmeno mock-infettata: materiale e disegno completamente disgiunti, il difetto più severo del blocco. GSE151803: verificati tutti i 4 confronti (righe 690-701) — 2 sono 'COVID-19 Lung' (tessuto polmonare) vs 'hESC Mock' (cellule staminali embrionali indifferenziate, righe 690-695), mentre 'hESC sars-Cov2 vs hESC Mock' e 'Liver Organoid sars-Cov2 vs Liver Organoid Mock' sono correttamente appaiati per materiale. Conteggio esatto (2 su 4)."
"cgroup_L5_889ec305","incoerente","coerente","Verdetto confermato ma motivo corretto/ristretto alla prova verificabile. Prova solida: dentro GSE205787 una riga appaia letteralmente 'CRC whole tissues (untreated)' (TRATTATO, tessuto vero) contro 'Normal colorectal epithelial stem cell spheroids (untreated)' (CONTROLLO, organoide coltivato) — mismatch di materiale nello STESSO confronto (mecc. 6). Inoltre GSE189212 e la maggioranza di GSE205787 usano spheroid mentre GSE104178 ('Tissue') e GSE164541 ('Normal colon epithelium') usano esplicitamente tessuto/epitelio diretto: eterogeneita' di materiale reale tra studi dello stesso gruppo. Lo studio piu' pesante (~35%) e' verosimilmente GSE205787, che porta al suo interno sia il mismatch diretto sia il materiale spheroid, quindi il peso dell'errore non e' trascurabile. CORREZIONE: la parte del motivo del revisore su GSE216561 ('Healthy Donor probabilmente sangue/PBMC') e' pura speculazione non verificabile dall'etichetta e va scartata; medesimamente l'affermazione che GSE157086/GSE93904 userebbero 'tessuto bioptico diretto' non e' supportata dalle loro etichette ('Colorectal Cancer' vs 'Healthy Control'/'Control unspecified'), che non specificano affatto il materiale. NB: il mismatch patient1/patient2 in GSE164541 (CRC patient2 vs Normal colon epithelium patient1) NON e' un difetto: e' un disegno caso-controllo di malattia dove soggetti diversi sono obbligatori."
"cgroup_L5_93068469","incoerente","coerente","Confermato: in GSE175615 il confronto 'Treated' vs 'Time Zero Control' usa un basale pre-trattamento come controllo, confondendo l'effetto del farmaco col tempo in coltura -- tempo non appaiato (meccanismo 9). Verificato che le etichette 'No Treatment' in GSE184891 (per HL60/OCI-AML3 a diverse durate) NON dichiarano esplicitamente 'time zero', quindi non estendo l'accusa a quello studio: resta scoping corretto al solo confronto citato."
"cgroup_L5_964c6389","incoerente","coerente","Il verdetto del REVISORE riportato nell'elenco da contestare era 'coherent', ma il verdetto ATTUALE nel file (riga 190) e' gia' 'coherent' -- attenzione: qui contesto il file/verdetto attuale, non quello scritto nel blocco di 10 da contestare (che nel JSON fornito riportava erroneamente motivo/meccanismo per un verdetto 'coherent' -- ricontrollato: l'elenco fornito segna questo gruppo come verdetto='coherent' con motivo vuoto, MA il file blocco-18.txt riga 190 mostra 'verdetto attuale: coherent' anch'esso. Rileggendo le etichette una per una: GSE105041 usa 'Astrocyte Progenitor Cell'/'Glial Progenitor Cell' (stato cellulare coltivato/progenitore, non tessuto maturo), mentre GSE129473 usa 'BA9 prefrontal cortex' e 'CAU' (caudato) -- regioni anatomiche reali, quindi tessuto cerebrale vero di paziente. Questo e' un mismatch di materiale (mecc. 6: modello cellulare coltivato contro tessuto cerebrale reale), lo stesso schema clinico-vs-sperimentale gia' documentato nel corpus per Parkinson/spondilite. NON estendo l'accusa a GSE64810 ('HD CAG XX' vs 'Normal Controls'): l'etichetta non specifica il tessuto, quindi non e' verificabile che sia cervello -- ma il mismatch GSE105041-vs-GSE129473 basta da solo. Il gruppo va corretto da coerente a INCOERENTE."
"cgroup_L5_988d478d","incoerente","coerente","Confermato: GSE198740 ('COPD patient blood' vs 'Healthy control blood') e GSE268499 ('COPD PBMCs' vs 'Healthy PBMCs') misurano sangue periferico, mentre GSE178807 e GSE57148 misurano tessuto polmonare/epitelio bronchiale. Per una malattia d'organo come la BPCO, sangue/PBMC e tessuto polmonare sono compartimenti biologici diversi, non lo stesso contrasto. Con soli 4 studi pooled, la spaccatura 2-vs-2 e sostanziale, non un singolo intruso marginale."
"cgroup_L5_99d7941a","incoerente","coerente","Confermo l'intruso gia' segnalato GSE151680 (U251TR/U87TR = verosimilmente sublinee resistenti al TMZ selezionate cronicamente, confrontate contro la linea parentale U251MG/U87MG mai trattata: mismatch di linea, meccanismo 9). MA il revisore si e' fermato troppo presto: GSE218860 e' un SECONDO intruso non segnalato. 'MGG4 temozolomide 25uM' (concentrazione da coltura, in vitro) e 'MGG4 temozolomide 10mg/kg' (dosaggio per peso corporeo, tipico di somministrazione sistemica in un modello animale/xenograft) sono entrambi appaiati genericamente contro 'MGG4 DMSO', mescolando materiale in vitro e in vivo sotto la stessa etichetta di controllo (meccanismo 6, materiali incompatibili). Il verdetto incoerente resta corretto ma la diagnosi va corretta/ampliata con questo secondo studio."
"cgroup_L5_a32e5eaa","incoerente","coerente","Confermato: in GSE175867 il confronto 'DAC 1uM + DEX' vs 'DMSO' porta un secondo agente (desametasone) assente dal controllo; gli altri due confronti dello stesso studio e il resto del gruppo (inclusi i pair geneticamente appaiati: SETD2 KO/WT, ADAR1 KD/OE, sempre con controllo della stessa linea/genotipo) sono puliti. Nota debole non decisiva: in GSE216988 lo stesso trattato 'Decitabine Recovery' e' appaiato sia a 'Control Early' sia a 'Control Late' - possibile disallineamento temporale, ma le etichette non specificano abbastanza per confermarlo (dubbio, non aggiunto al verdetto)."
"cgroup_L5_a3c3e08c","incoerente","coerente","Confermato sulle etichette: in GSE234170 il terzo confronto (n=6 vs 3) appaia 'LDN_CD45_lo Lung Cancer PA017_D' (trattato) con 'LDN_CD45_hi Healthy HD_LIRI' (controllo) - sottopopolazioni immunitarie diverse per densita'/CD45, non lo stesso materiale. Gli altri tre confronti dello stesso studio sono appaiati correttamente per sottopopolazione (LDN_CD45_hi vs LDN_CD45_hi nei primi due, PMN vs PMN nel quarto), e GSE148862/GSE216561 sono pazienti-vs-sani coerenti senza ambiguita'."
"cgroup_L5_a7509255","incoerente","coerente","Confermato. GSE237960 dichiara esplicitamente 'Heat killed Staphylococcus aureus' vs 'Control', mentre GSE173902/GSE211868/GSE217234 sono tutti infezione VIVA ('infection'/'infected') vs PBS/untreated: batteri morti al calore sono un PAMP puro, senza replicazione ne' tossine attive — materiale/stimolo diverso (meccanismo 6/3). Aggiungo un aggravante che il revisore non ha scritto: per conteggio campioni GSE237960 (n=4 vs 4) e' il piu' numeroso del gruppo insieme a GSE211868, e il 'piu pesante: 80%' dichiarato nell'header rende plausibile che sia proprio l'intruso a dominare il risultato poolato, non solo a contaminarlo marginalmente."
"cgroup_L5_aecd610f","incoerente","coerente","Confermato: GSE182875 usa neuroni corticali e progenitori neurali derivati da iPSC (linee NSC nominate) contro un'altra linea iPSC di controllo - modello sperimentale in vitro - mentre tutti gli altri 13 studi del gruppo (inclusi GSE138082, non elencato esplicitamente dal revisore ma anch'esso tessuto ippocampale postmortem CA1/CA3) usano tessuto cerebrale postmortem di pazienti/controlli reali. Schema clinico-contro-sperimentale confermato sulle etichette. La nota sulla dominanza (Kish 4.1/14, un solo studio 41%) e' corretta e indipendente dalla coerenza."
"cgroup_L5_b0066299","incoerente","coerente","Il revisore ha giudicato sull'impressione d'insieme ('tutti malato-vs-sano') senza controllare il materiale etichetta per etichetta. GSE185309 specifica esplicitamente 'Keloid-affected keratinocytes' vs 'Healthy control keratinocytes' — cheratinociti ISOLATI e coltivati — mentre GSE151464/GSE158395/GSE188952 usano l'etichetta nuda 'Keloid' vs 'Normal Skin'/'Normal', coerente con biopsie di TESSUTO intero (che include fibroblasti, matrice extracellulare e infiltrato immunitario, cioe' proprio la componente fibrotica che definisce il cheloide). Isolare solo i cheratinociti cattura un compartimento cellulare diverso e puo' non catturare affatto la firma fibrotica misurata dagli altri tre studi: mismatch di materiale, meccanismo 6. Non e' un dettaglio cosmetico: GSE185309 ha n=9 vs 6, fra i confronti piu' numerosi del gruppo (Kish=3.0, piu pesante 44%), quindi il suo peso nel pooling e' plausibilmente sostanziale."
"cgroup_L5_bd19fe42","incoerente","coerente","Confermato. GSE120663 e' l'unico studio del gruppo (su 9) etichettato 'HCC PBMC' vs 'Healthy Control PBMC': sangue periferico, non tessuto epatico. Tutti gli altri 8 studi (19 righe) confrontano esplicitamente tessuto tumorale vs tessuto epatico adiacente/normale/sano (GSE144269, GSE159220, GSE164359, GSE216613, GSE256235, GSE263134, GSE73708, GSE77509). Incompatibilita' di materiale reale e ben isolata."
"cgroup_L5_be15b706","incoerente","coerente","Confermato: in GSE159196 il confronto 'IL13 (Tracheal airway epithelium)' e' appaiato a 'Control (Nasal airway epithelium)' - tessuto anatomicamente diverso (trachea vs naso) - mentre lo stesso studio ha anche una coppia nasale-vs-nasale corretta. Resto del gruppo (20 confronti su 21, inclusi i pair per donatore in GSE79027 e per genotipo in GSE162696) pulito. Peso minimo, verdetto confermato."
"cgroup_L5_c3ae78cd","incoerente","coerente","Sostanza confermata, con una correzione numerica minore: GSE139179 ha 20 confronti totali (non 21, verificato per conteggio esatto), di cui 18 (non 19) confrontano segmenti anatomici diversi (retto, colon discendente, colon ascendente) contro un unico controllo fisso 'Healthy, sigmoid colon', e solo 2/20 sono davvero sigmoid-vs-sigmoid ('sigmoid colon, T106' e 'sigmoid colon, T26'). La percentuale di mismatch resta pero' quasi identica a quella citata (90% vs 90.5%) e la conclusione sostanziale regge: il mismatch anatomico sistematico e' reale e pesa 18 confronti su 42 del gruppo (43%, 'quasi meta'' confermato). Anche il dubbio secondario su GSE261086 e' verificato: lo studio usa davvero due etichette distinte ('Crohn's disease colon mucosa/wall' vs 'Inflamed colon mucosa/wall') contro lo stesso controllo 'Normal colon', il che rende legittimo il sospetto che 'Inflamed' non sia necessariamente Crohn. Non contestato nel verdetto (solo un aggiustamento del conteggio citato, l'accusa di fondo e il colpevole indicato sono corretti)."
"cgroup_L5_c548d053","incoerente","coerente","Confermato su ogni etichetta citata. GSE97744 riga 670-672: 'Circulating macrophage + IFN-γ and LPS' vs 'Circulating macrophage untreated' — secondo agente (IFN-γ) non isolato. GSE180693: entrambi i confronti (righe 535-540) sono 'T3 and LPS' vs 'RPMI media', nessun braccio LPS-da-solo in questo studio nel pool. GSE181851 riga 544-546: 1 dei 2 confronti è 'PW and LPS' vs 'Untreated' (l'altro, righe 541-543, è pulito). GSE245677: verificati tutti i 4 confronti (righe 628-639) — solo 1 ('LPS + BMS treated' vs 'Control (vehicle_only)', righe 631-633) ha il secondo agente BMS; gli altri 3 tengono transgene_stable costante correttamente. GSE76404 riga 640-642: 'African American Male' trattato vs 'African American Female' controllo, stesso tessuto adiposo — sesso non appaiato. Tutte le accuse reggono con i conteggi esatti."
"cgroup_L5_cf34c533","incoerente","coerente","Confermato sulle etichette: nel secondo confronto di GSE139862 il trattato e' 'PAEC, passage 5, Nutlin-3 10 uM 24h' contro il controllo 'PAEC, passage 3, PBS' - passaggio cellulare diverso fra i due bracci (mecc. 9, disegno di trattamento non di malattia) piu' un veicolo diverso (PBS invece di DMSO, usato nel resto del gruppo). Il primo confronto dello stesso studio, GSE154118 e GSE59841 sono correttamente appaiati Nutlin-3 vs DMSO/vehicle nello stesso passaggio/condizione."
"cgroup_L5_d28620cd","incoerente","coerente","Confermato sulle etichette: GSE171543/GSE171560 sono cellule di colon trattate con STS vs DMSO (stesso contrasto). GSE241595 misura 'apoEVs (apoptosis induced by staurosporine)' vs 'control' generico: sono vescicole extracellulari, non cellule trattate — readout e materiale diversi (cargo di EV vs trascrittoma cellulare), controllo non specificato come veicolo. Meccanismo 6 fondato."
"cgroup_L5_d53bf74e","incoerente","coerente","Confermato: GSE148656 include esplicitamente due confronti su 'Fibroblastic Reticular Cells' e 'Follicular Dendritic Cells' — popolazioni stromali/di supporto del linfonodo, non cellule B tumorali come negli altri studi (GSE145842, GSE62241 = CD19+ B cells). Materiale biologicamente diverso (microambiente vs cellula malata), meccanismo 6 fondato gia' su questi due confronti indipendentemente dal terzo (Double Negative Cells, piu' ambiguo ma non necessario per il verdetto)."
"cgroup_L5_debadb13","incoerente","coerente","Confermato: GSE194179 e GSE93153 sono infezione sperimentale HBV vs Mock su epatociti (dHepaRG, primari) — bersaglio naturale del virus. GSE164266 confronta cellule T Vγ9+Vδ2+ di PAZIENTI HBV vs donatori sani: clinico (non sperimentale) e materiale linfocitario periferico, non epatociti infettati. Meccanismo 1 (clinico vs sperimentale) + 6 (materiale diverso) entrambi fondati sull'etichetta citata."
"cgroup_L5_f94b6180","incoerente","coerente","Confermato. GSE172205 riga 1786-1788: 'Prostate tissue treated with R1881 and atraric acid (AA)' vs 'C4-2 cells treated with DMSO' — doppio difetto reale, tessuto vs linea cellulare (materiale) più un secondo agente (atraric acid) non isolato. GSE225481 riga 1855-1857: 'LAPC4_R1881' vs 'VCaP_DMSO' — linea cellulare diversa; verificati gli altri 12 confronti di GSE225481 in questo gruppo e sono tutti correttamente appaiati per linea (es. 'VCaP_R1881_rep' vs 'VCaP_DMSO'), quindi il conteggio 'intero studio' inteso come un solo confronto anomalo è corretto. Nota aggiuntiva non citata dal revisore ma di rinforzo: GSE230741 righe 1930-1935 appaia 'HIRA KO clone 3' trattato con 'HIRA KO clone 14' di controllo (cloni KO diversi) in 2 confronti — non cambia il verdetto già corretto, lo rinforza."
