"cluster_id","n_confronti","n_difettosi","motivi","frazione","almeno_uno"
"cgroup_L5_96c9f7bf",16,7,"soggetto_diverso",0.4375,TRUE
"cgroup_L5_988d478d",5,0,"",0,FALSE
"cgroup_L5_99d7941a",9,0,"",0,FALSE
"cgroup_L5_9bb4734d",16,0,"",0,FALSE
"cgroup_L5_9bdf0dcb",12,0,"",0,FALSE
"cgroup_L5_9de3f0ea",9,0,"",0,FALSE
"cgroup_L5_9f0ea111",8,0,"",0,FALSE
"cgroup_L5_a12414d4",44,0,"",0,FALSE
"cgroup_L5_a25d0964",26,0,"",0,FALSE
"cgroup_L5_a32e5eaa",99,0,"",0,FALSE
"cgroup_L5_a3c3e08c",60,0,"",0,FALSE
"cgroup_L5_a3f0c959",8,0,"",0,FALSE
"cgroup_L5_a4029927",23,0,"",0,FALSE
"cgroup_L5_a69fcae5",14,0,"",0,FALSE
"cgroup_L5_a6fd82fa",11,0,"",0,FALSE
"cgroup_L5_a739837c",15,1,"soggetto_diverso",0.0666666666666667,TRUE
"cgroup_L5_a747a14e",4,0,"",0,FALSE
"cgroup_L5_a7509255",5,0,"",0,FALSE
"cgroup_L5_a8015c98",12,0,"",0,FALSE
"cgroup_L5_a8d88150",8,0,"",0,FALSE
"cgroup_L5_a8ff7b6d",20,0,"",0,FALSE
"cgroup_L5_aa8c1d6d",20,0,"",0,FALSE
"cgroup_L5_aad8ed47",11,0,"",0,FALSE
"cgroup_L5_ae11259e",6,0,"",0,FALSE
"cgroup_L5_ae969461",3,0,"",0,FALSE
"cgroup_L5_aecd610f",37,14,"soggetto_diverso",0.378378378378378,TRUE
"cgroup_L5_b0066299",30,11,"soggetto_diverso",0.366666666666667,TRUE
"cgroup_L5_b2affd22",24,3,"soggetto_diverso",0.125,TRUE
"cgroup_L5_b32ab7f6",22,0,"",0,FALSE
"cgroup_L5_b3ccf1c1",12,0,"",0,FALSE
"cgroup_L5_b5db4aff",18,0,"",0,FALSE
"cgroup_L5_b6b8bc00",67,0,"",0,FALSE
"cgroup_L5_b71a25a2",88,0,"",0,FALSE
"cgroup_L5_b9c77320",13,0,"",0,FALSE
"cgroup_L5_b9e7806c",18,0,"",0,FALSE
"cgroup_L5_ba4af011",11,0,"",0,FALSE
"cgroup_L5_bb8cb388",20,2,"soggetto_diverso",0.1,TRUE
"cgroup_L5_bd19fe42",21,1,"soggetto_diverso",0.0476190476190476,TRUE
"cgroup_L5_bd40f34f",22,0,"",0,FALSE
"cgroup_L5_be15b706",41,0,"",0,FALSE
"cgroup_L5_c040a36d",17,8,"soggetto_diverso",0.470588235294118,TRUE
"cgroup_L5_c054e202",17,0,"",0,FALSE
"cgroup_L5_c0d1d837",63,0,"",0,FALSE
"cgroup_L5_c13b1103",6,0,"",0,FALSE
"cgroup_L5_c3ae78cd",98,29,"soggetto_diverso",0.295918367346939,TRUE
"cgroup_L5_c548d053",120,0,"",0,FALSE
"cgroup_L5_c5e86fe9",33,0,"",0,FALSE
"cgroup_L5_c860712d",14,3,"soggetto_diverso",0.214285714285714,TRUE
"cgroup_L5_cacf5d1a",4,0,"",0,FALSE
"cgroup_L5_cf34c533",8,0,"",0,FALSE
"cgroup_L5_cfad03a8",20,2,"soggetto_diverso",0.1,TRUE
"cgroup_L5_d28620cd",3,0,"",0,FALSE
"cgroup_L5_d2c64672",21,0,"",0,FALSE
"cgroup_L5_d411c435",12,0,"",0,FALSE
"cgroup_L5_d53bf74e",5,0,"",0,FALSE
"cgroup_L5_d5e39a5d",7,0,"",0,FALSE
"cgroup_L5_d631ee89",5,0,"",0,FALSE
"cgroup_L5_d7abf612",6,0,"",0,FALSE
"cgroup_L5_d7ad915e",15,0,"",0,FALSE
"cgroup_L5_d8006c5b",9,0,"",0,FALSE
"cgroup_L5_d9e23e09",88,0,"",0,FALSE
"cgroup_L5_dc7451b1",27,0,"",0,FALSE
"cgroup_L5_dcce160a",5,0,"",0,FALSE
"cgroup_L5_dd2a13de",16,0,"",0,FALSE
"cgroup_L5_dd2a1a58",11,0,"",0,FALSE
"cgroup_L5_dde29fb4",34,0,"",0,FALSE
"cgroup_L5_debadb13",9,0,"",0,FALSE
"cgroup_L5_df599af1",18,2,"soggetto_diverso",0.111111111111111,TRUE
"cgroup_L5_e16bfa7f",5,0,"",0,FALSE
"cgroup_L5_e17c136b",8,0,"",0,FALSE
"cgroup_L5_e294a3bc",7,0,"",0,FALSE
"cgroup_L5_e7eebebd",7,0,"",0,FALSE
"cgroup_L5_ea4a1823",5,0,"",0,FALSE
"cgroup_L5_eb5e1e65",46,0,"",0,FALSE
"cgroup_L5_eba39954",14,1,"soggetto_diverso",0.0714285714285714,TRUE
"cgroup_L5_ee94648c",7,0,"",0,FALSE
"cgroup_L5_eedd08cb",5,0,"",0,FALSE
"cgroup_L5_efced505",39,0,"",0,FALSE
"cgroup_L5_f2139c4f",4,0,"",0,FALSE
"cgroup_L5_f2481870",3,0,"",0,FALSE
"cgroup_L5_f29dd3b3",8,4,"soggetto_diverso",0.5,TRUE
"cgroup_L5_f34ff8df",34,0,"",0,FALSE
"cgroup_L5_f51ff620",10,0,"",0,FALSE
"cgroup_L5_f56d966d",9,0,"",0,FALSE
"cgroup_L5_f640365a",6,0,"",0,FALSE
"cgroup_L5_f832048f",16,0,"",0,FALSE
"cgroup_L5_f94b6180",100,1,"soggetto_diverso",0.01,TRUE
"cgroup_L5_f956ef98",19,0,"",0,FALSE
"cgroup_L5_f97e50de",42,0,"",0,FALSE
"cgroup_L5_f9cc41b3",4,0,"",0,FALSE
"cgroup_L5_fd0c6a79",25,0,"",0,FALSE
"cgroup_L5_fea19ca0",6,0,"",0,FALSE
"cgroup_L5_ff45f67e",6,0,"",0,FALSE
"cgroup_L5_ff78d2a8",8,0,"",0,FALSE
