cluster_id,kind,canonical_name,k,n_resolved,n_control_types,n_control_types_semantic,frac_degenerate,consistency_score,median_I2,pi_frac_excl0,dd_verdict,contrast_verdict,meta_analysis_valid,dd_reason
group_L4_1c30f36e,environmental,heat shock,7,10,1,5,0,0.8955063543137514,10.449364568624866,0.4630659253375695,multi_contrast,minestrone,FALSE,"Sotto l'anchor 'heat shock' convivono esposizione a fumo filtrato/di legna ('A549 Filtered Smoke => A549 Control'), prodotto da tabacco riscaldato, trattamento con immunoglobulina IL3IgG, accorciamento dei telomeri ('Telomere shortening => Untreated') e radiazione ionizzante ('WI-38 Ionizing Radiation 10 Gy => WI-38 Control') oltre al vero shock termico: assi di stress cellulare diversi."
group_L4_1ce0f97a,environmental,cancer,6,8,4,4,0,1,0,0.7808219178082192,multi_contrast,minestrone,FALSE,"Include resistenza a gefitinib in PDX di cSCC, marcatori Kir in PDX di linfoma NK/T ('ENKTL1_PDX_KirNeg_02 Tumor => ENKTL1_PDX_Veh_04 Tumor'), risposta pre/post trattamento generica ('Post-treatment NR => Pre-treatment NR') e stimolazione ex-vivo di linfociti tumorali: quattro assi cancro/trattamento non comparabili."
group_L4_1ec72ee3,disease_vs_normal,Parkinson's disease,5,6,2,2,0,1,0,0.7485148514851485,multi_contrast,minestrone,FALSE,"5/6 contrasts are genuine PD vs healthy control (Control Age79/Age49/CAU/PUT) but 'PD substantia nigra BN05-17 => PD substantia nigra NZ-PD8' pairs PD tissue against PD tissue, a degenerate disease-vs-disease pair not disease-vs-normal."
group_L4_1eff5361,small_molecule,docetaxel anhydrous,4,4,1,1,0,0.6020569482931366,39.79430517068634,0.31391986782321357,one_contrast,coherent,TRUE,"Tutti e 4 i contrasti sono docetaxel/chemioterapia vs controllo/vehicle/pre-trattamento (DU145 control, PM154 vehicle, Control PDX, Control Pre-Chemohormonal Therapy), stesso asse farmaco-vs-baseline anche se un caso e' disegno pre/post longitudinale."
group_L4_1f404c0b,pathogen_or_aggregate_exposure,influenza virus,25,46,6,8,0,0.08276506304002806,91.7234936959972,0.09257781324820431,multi_contrast,minestrone,FALSE,"sotto 'influenza virus' compaiono 'Calu3 Omicron (BA.1) 2h => Calu3 Mock 10h' (SARS-CoV-2), 'Infected with SARS-CoV2 => Mock-infected' (SARS-CoV-2), 'MRC-5, HIV-1, 4 hours post-infection => MRC-5, mock infection' (HIV-1), 'IMR90 MCPyV ST 88h => IMR90 GFP' (poliomavirus di Merkel) e persino 'MDA-MB-231 orthotopic mouse tumor => MDA-MB-231 co-cultured with mouse tumor (control)', uno xenograft tumorale mammario senza alcun patogeno."
group_L4_23d99677,disease_vs_normal,Bacterial Infections,3,3,3,1,0,NA,NA,NA,one_contrast,coherent,FALSE,"All 3 contrasts ('Affected Blood'/'Bacterial infection'/'Blood cells from affected individuals' vs 'Unaffected Blood'/'Healthy'/'Blood cells from unaffected controls') are the same bacterial-infection-vs-healthy-blood baseline, just phrased differently."
group_L4_25bd1011,small_molecule,TNP-ATP<small><sup>5−</small></sup>,3,5,1,1,0,NA,NA,NA,one_contrast,coherent,FALSE,"Tutti i 5 contrasti sono Sunitinib vs DMSO/Vehicle Control (stesso composto, dosi/tempi diversi); il canonical_name 'TNP-ATP' non corrisponde a nessun contrasto reale ma i controlli/trattati pooled sono internamente coerenti su un solo composto."
group_L4_26908081,small_molecule,5-aza-2'-deoxycytidine,11,15,6,7,0,0.6855451049570387,31.44548950429613,0.47980997624703087,multi_contrast,minestrone,FALSE,"Solo 'HCT116 + 5-Aza => ...w/o treatment' e 'DAC2_DMSO_4day => DMSO_4day' sono realmente 5-aza/decitabina; gli altri contrasti usano spiperone, DFO (deferoxamina), Nutlin (inibitore MDM2), un inibitore G9a, un sistema DOX-inducibile ZEB2 (asse genetico) e supplementazione di metionina: composti/assi non correlati mescolati."
group_L4_274f387d,pathogen_or_aggregate_exposure,Mycobacterium tuberculosis,59,172,24,12,0,0.1024471424894574,89.75528575105426,0.07034795763993948,multi_contrast,minestrone,FALSE,"cluster enorme (k=59) in cui la tubercolosi è minoritaria: dominano COVID-19 ('COVID-19 ICU 2 => COVID-19 NO ICU', 'COVID-positive Neutrophils => COVID-negative Neutrophils', più contrasti Age/Sex-matched), sepsi neonatale ('Confirmed late-onset sepsis (fetal) => No late-onset sepsis (fetal)') e dengue ('Dengue fever (Group A) => Other Febrile Illness'): patogeni e condizioni cliniche del tutto diversi pooled insieme."
group_L4_27d69ee2,pathogen_or_aggregate_exposure,dengue virus,7,13,8,6,0,1,0,0.08140947752126367,multi_contrast,minestrone,FALSE,"contiene 'COVID-19 patients => Healthy controls' del tutto estraneo al dengue, un modello di challenge CHMI ('Pathogen exposure V07T0 => CHMI V07T0,D170'), timecourse vaccinale per soggetto (day0=>day28) e coppie quasi-degeneri veicolo-vs-veicolo ('Vehicle vac day2 V01A => Vehicle vac day2 V01A,D002'); frac_degenerate=0.3846 conferma l'incoerenza."
group_L4_2bd06550,small_molecule,prostate cancer,5,8,2,4,0,1,0,0.4504201680672269,multi_contrast,minestrone,FALSE,"Il cluster mescola DHT ed R1881 (agonisti androgenici) con Enzalutamide (antagonista, direzione opposta: 'LNCaP PRRX2 + ENZ => LNCaP PRRX2 + DMSO'), su sfondi genetici diversi (RB1 KO, RBL2 KO, TP53 KO come 'controlli' distinti), piu' un sistema dTAG di degradazione EZH2 non correlato ad androgeni: assi sperimentali e persino direzioni farmacologiche opposte pooled insieme."
group_L4_2c92ab19,disease_vs_normal,primary sjogren's syndrome,3,3,1,1,0,1,0,0.5303867403314917,one_contrast,coherent,TRUE,All 3 contrasts are Primary Sjogren's syndrome vs an age-matched healthy control - single consistent disease-vs-normal axis.
group_L4_2d512638,disease_vs_normal,colorectal cancer,170,116,22,8,0,0.21861314467393844,78.13868553260616,0.1398264223722276,multi_contrast,minestrone,FALSE,"Mixes case_control_disease (colon cancer vs adjacent/paired normal tissue) with genetic multi_arm_treatment ('APC/TP53/KRAS/SMAD4 mutant, STAR positive => Normal colon, STAR negative, expansion medium') and RNA/drug-treatment axes ('Colon Cancer Organoids - Autophagy-High => ...No Treatment', 'Colon fibroblast - Cancer - Treated with RNA (CA4) => ...Untreated')."
group_L4_2e0cc780,genetic_knockdown,"RNA, Small Interfering",7,9,7,3,0,0.7545039740053898,24.549602599461014,0.4091580502215657,multi_contrast,minestrone,FALSE,"Canonical name is a generic technique term ('RNA, Small Interfering'), not a gene; pools unrelated gene knockdowns (CD36, LINC00094, ELL, FOXC1, HNRNPL, TFAM, WNT4) against varied controls ('Control (GFP) siRNA', 'Transgene stable control', scrambled siRNA) - by construction a technique-based pool, not one contrast."
group_L4_2f25f949,environmental,Major Depressive Disorder,20,45,11,9,0.022222222222222223,1,0,0.8888888888888888,multi_contrast,minestrone,FALSE,"I contrasti coprono disturbo da uso di oppioidi ('OUD... => Control - No Perturbation'), disturbo da alcol ('AlcoholUseDisorder_465g_day_Subject_23 => Control_Subject_2'), Alzheimer ('Alzheimer's disease brain tissue (control)'), glioma post-trattamento ('Glioma patient Ge822... after standard treatment => ... before standard treatment'), epilessia time-course ('Epilepsy Grey Matter 12 hour => ... 0 hour') e MDD ('MDD => Control, Accident'): malattie e assi completamente diversi, non un solo contrasto MDD."
group_L4_32c7c22b,disease_vs_normal,"Carcinoma, Non-Small-Cell Lung",73,96,15,8,0.010416666666666666,0.723365975977343,27.663402402265703,0.4327485380116959,multi_contrast,minestrone,FALSE,"Beyond the dominant clean paired tumor-vs-adjacent-lung contrasts, distinct_controls reveal TKI drug-sensitivity panels ('NCI-H1581 sensitive', cell-line percentage-mixture experiments), an unrelated 'Mild Asthma Baseline' control, a mismatched 'Normal kidney tissue' control, and a 'Low perfusion group' physiological-state control."
group_L4_3424eeb5,environmental,ovarian cancer,7,13,3,4,0,1,0,0.5945330296127562,multi_contrast,minestrone,FALSE,"Mescola cellule del cumulo ovocitario in un contesto IVF ('Cumulus Cells P+ A11 => Cumulus Cells Control', non oncologico), risposta a chemio neoadiuvante ('NACT Post-treatment => NACT Pre-treatment'), resistenza al platino vs controlli per età ('Platinum resistant (Age 47) => Control (Age 45)') e trattamento con PTX/irradiazione ('PTX+gamma irradiation => PBS+gamma irradation'): assi sperimentali eterogenei."
group_L4_34c767eb,genetic_overexpression,breast cancer,20,21,7,9,0,0.9999641177889392,0.00358822110609178,0.48366013071895425,multi_contrast,minestrone,FALSE,"mescola farmacoresistenza (endocrina/tamoxifene/trastuzumab/PARP), mimic miRNA multipli, overexpression virale LMP1 in linea nasofaringea HK1 (non-mammaria), e contiene coppie con linee cellulari mismatched come controllo, es. 'Trastuzumab-resistant JIMT-1 => Breast adenocarcinoma SKBR3' e 'MDAMB231 wildtype.g2 => HCC1806 wildtype.g2'."
group_L4_3551bca6,pathogen_or_aggregate_exposure,Cytomegalovirus,3,10,6,6,0.1,NA,NA,NA,multi_contrast,minestrone,FALSE,"mescola CMV, Epatite C e Tubercolosi/BCG: 'CMV-infected, D-7, 7 days, BCG vaccinated => M.tb-uninfected, D-7, 7 days, BCG vaccinated' introduce l'asse M.tuberculosis/vaccino BCG, e 'Hepatitis C 3 months => Hepatitis C 3 months' è una coppia degenere (trattato==controllo), coerente con frac_degenerate=0.2."
group_L4_361f17eb,pathogen_or_aggregate_exposure,Neisseria meningitidis,4,20,5,2,0,0.9999935472871416,6.452712858486192e-4,0.27403846153846156,multi_contrast,minestrone,FALSE,"Pools vaccine-timecourse contrasts (""Vaccination Day 2 => Vaccination Day 0"", ""Post-vaccination Treated ... => Pre-vaccination Control"") with a separate NAAT carriage-status axis (""MenACWY CT NAAT result: +ve => MenACWY CT -ve"") - vaccine response vs infection/carriage status are two different questions."
group_L4_36e14ea8,environmental,X-RAY RADIATION,3,4,2,1,0,1,0,0.563768115942029,one_contrast,coherent,TRUE,"Tutti i contrasti sono dose di raggi X vs 0 Gy nello stesso disegno ('X-ray (2 Gy, 24h) => Control (0 Gy)', 'BEAS-2B X-ray radiation => BEAS-2B control', 'Irradiation 6h => Control'): un solo asse sperimentale (radiazione)."
group_L4_376946ce,pathogen_or_aggregate_exposure,Hepatitis C virus,26,54,11,7,0,0.9999792472105032,0.0020752789496756,0.5904761904761905,multi_contrast,minestrone,FALSE,"Mixes HBV-infection contrasts (""HBV-infected HCC => Uninfected HCC""), HCV-infection contrasts (""HCV Infected => Uninfected Control""), HCC tumor-genotype baselines (""Hepatocellular carcinoma, ctnnb1_status_wt""), NBNC-HCC viral-negative tumor controls, and an unrelated ""Lung Lung squamous cell carcinoma Pt73_M"" control under one ""Hepatitis C virus"" anchor."
group_L4_37890ccf,disease_vs_normal,Liver Cirrhosis,4,6,2,2,0,1,0,0.76780568135035,multi_contrast,minestrone,FALSE,"Il cluster 'Liver Cirrhosis' contiene 2/6 contrasti di epatocarcinoma ('Hepatocellular carcinoma => Adjacent non-HCC tissue', 'Tumor hepatocyte => Normal hepatocyte'), un asse oncologico distinto dalla stadiazione di fibrosi/cirrosi (F0F1/F2/F3F4) del resto del cluster."
group_L4_378e0efe,environmental,Immunization,4,20,2,2,0,1,0,0.860981308411215,one_contrast,coherent,TRUE,"Tutti i contrasti riguardano l'effetto della vaccinazione nel tempo, sia vs braccio mock-immunizzato parallelo ('Immunized at 35 days => Mock Immunized at 35 days') sia vs baseline pre-dose nello stesso soggetto ('Immunized, Visit Day 14 => Immunized, Visit Day 000'): due strategie di controllo per la stessa domanda biologica (immunizzazione), non assi diversi."
group_L4_37b30c58,pathogen_or_aggregate_exposure,Plasmodium falciparum,7,42,3,6,0,0.9998850471749328,0.01149528250673532,0.3030852994555354,multi_contrast,minestrone,FALSE,"Mixes RTS,S/AS01 vaccine pre/post contrasts (""RTS,S/AS01 012 Day of Challenge => RTS,S/AS01 012 PreVAC""), a different vaccine platform (""Ad35.CS+RTSS+RTSS...=> Control - Reference Blood""), CHMI infection-challenge donor timecourses (""Infected - after_second_inf_C7 => Uninfected - before_first_inf_baseline""), and unrelated in-vitro ""Media D0/D90/D150"" controls."
group_L4_37d46677,cytokine_stim,PF4,3,7,3,1,0,0.9999997022254248,2.9777457515480535e-5,0.3548387096774194,multi_contrast,minestrone,FALSE,"Controls are uniformly unstimulated/resting baselines, but treated arm escalates from CXCL4 alone to CXCL4+ORN8L to 3-4-way combinations with NSA and GSK872 pathway inhibitors - single-agent vs multi-agent combination experiments confounded together."
group_L4_38ce0d4d,environmental,Hypoxia,5,15,5,1,0,0.7139942437676977,28.600575623230228,0.09869848156182212,one_contrast,coherent,TRUE,"Tutti i 15 contrasti sono ipossia vs normossia nello stesso disegno ('2242-1 Hypoxia 24h => 2242-1 Control 24h', 'U87-MG cell line, hypoxia => U87-MG cell line, normoxia', 'HEB 5% hypoxia => HEB normoxia') ripetuto su più linee cellulari e timepoint: un solo asse baseline (normossia/nessuna esposizione)."
group_L4_3915499e,small_molecule,Pam3CSK4,7,7,3,5,0,1,0,0.3032069970845481,multi_contrast,minestrone,FALSE,"Only 2/7 contrasts are actual Pam3CSK4-vs-DMSO pairs; the rest are a different adjuvant (""GLA-SE => Alum""), heat-killed mycobacteria (""HKM 24hr => Untreated 24hr""), an HTLV-1/TCQ drug study, and a generic unrelated ""Drug Treated Clinical Response => Clinical Response Baseline""."
group_L4_39e71aca,small_molecule,abiraterone,7,7,1,1,0,0.9999483700956512,0.00516299043486643,0.564625850340136,multi_contrast,minestrone,FALSE,"Il lato controllo e' coerente (vehicle/DMSO/untreated) ma il lato trattato mescola composti scorrelati: KW2449 (inibitore multi-chinasico), SP-2509 (inibitore LSD1), AU-15330 (degradatore SWI/SNF), Zenith-3694 (composto non identificato) - solo 'A4B17' (2 righe) e' plausibilmente correlato ad abiraterone, il resto sono farmaci diversi pooled sotto lo stesso nome."
group_L4_3b27bc1c,differentiation,NA,13,13,7,6,0,0.9999972301679592,2.76983204071646e-4,0.4854423292273236,multi_contrast,minestrone,FALSE,"'Differentiation' cluster pools normal ESC/iPSC differentiation timecourses with disease-vs-healthy comparisons at matched differentiation stage ('Bipolar Disorder - Differentiation' vs 'Healthy Control - Differentiation', 'FXS neuroepithelia' vs 'Healthy neuroepithelia'), a SNP genotype contrast (rs7132908 G>A), and GBM cancer-stem-cell differentiation."
group_L4_3b83ac87,small_molecule,palbociclib,9,11,2,1,0,0.43131659565450287,56.86834043454971,0.28950642886768974,multi_contrast,minestrone,FALSE,"10/11 contrasti sono palbociclib (da solo o in combo con fulvestrant/indisulam) vs vehicle/DMSO/NegCtrl, ma 'T47D + GDC0068 10h => T47D + NegCtrl 10h' e' ipatasertib (inibitore AKT), un composto completamente diverso senza palbociclib: il lato trattato include almeno un farmaco estraneo."
group_L4_3b8583a4,pathogen_or_aggregate_exposure,Hepatitis B virus,19,46,6,7,0,1,0,0.4528301886792453,multi_contrast,minestrone,FALSE,"combina infezione HBV in vitro (donor timecourse, con mismatch di giorno/donatore es. 'Donor2 HBV D6 => Donor2 Mock 12h'), test farmacologici su reporter cccDNA (cccR07/cccR08 vs vehicle, HBV+Rimonabant vs HBV_DMSO) e confronto tessuto clinico 'HCC Non-recurrent Tumor (HBV) => ... Adjacent Normal': disegni sperimentali diversi (infezione, farmaco, tumore-vs-normale)."
group_L4_3c38c897,small_molecule,tamoxifen,13,21,8,3,0,0.5567379959227157,44.32620040772843,0.3590308370044053,multi_contrast,minestrone,FALSE,"'MCF-7_SR2211 => MCF-7_control-siRNA' e 'MCF-7_SR2211_rep2 => MCF-7_DMSO' usano SR2211 (antagonista RORgamma), non tamoxifene/4-OHT, e uno dei controlli e' un siRNA control (asse genetico) invece di vehicle: composto e asse sperimentale diversi mescolati col tamoxifene reale (4-OHT, TAM)."
group_L4_3d6e0820,disease_vs_normal,atopic dermatitis,46,85,8,7,0.023529411764705882,0.4090367993544557,59.09632006455443,0.1721419185282523,multi_contrast,minestrone,FALSE,"'Alzheimer's Disease (AD) => Healthy Control (HC)' e 'Central Centrifugal Cicatricial Alopecia (CCCA) Skin Biopsies => Normal Control (NC)' sono malattie completamente diverse (probabile collisione sulla sigla 'AD') infilate sotto 'atopic dermatitis', insieme a un asse genetico ('AGO mutant => Wild-type control') e trattamento CMN ('CMN AC8950 => CMN Untreated')."
group_L4_3dc3ae01,cytokine_stim,Interleukin-1beta,4,7,4,1,0,0.9998883810564956,0.01116189435042977,0.6857223317375387,multi_contrast,minestrone,FALSE,"Most contrasts are clean IL-1beta vs untreated/PBS, but 'IL-1beta + Ze14 (20%)' and 'IL-1beta and TNF-alpha' combine IL-1beta with another compound/cytokine, a different experimental question from isolated IL-1beta stimulation."
group_L4_409b14a2,genetic_knockdown,DDX46,4,4,3,3,0,0.9998219735265724,0.01780264734274322,0.5352380952380953,multi_contrast,minestrone,FALSE,"4 contrasts span unrelated axes: PGC1a knockdown+drug '991' vs 'siCont for 16 hours', PKM knockdown ('shPKM') vs 'Control (shCtrl)', an unlabeled 'Oligo (4VIC)' vs 'Control (Monosomes)' ribosome-profiling contrast, and PRP5 siRNA vs 'Negative control siRNA' - no shared target linking all four."
group_L4_44024b09,cytokine_stim,IL25,27,47,6,9,0,1,0,0.5706401766004415,multi_contrast,minestrone,FALSE,"Cluster labeled IL25 pools COVID severity staging (wpi vs Healthy Control), anti-CD3/CD28 T-cell activation, Treg-induction drug cocktails, unrelated diseases (Sjogren's, alcoholic hepatitis, cervical artery dissection), hemodialysis, anti-PD-1 immunotherapy, and NK-T coculture - none of the shown contrasts mention IL-25 itself."
group_L4_455cb1f4,genetic_overexpression,miR-9/9*-124,5,8,2,2,0,0.16526321953678802,83.4736780463212,0.1809666541775946,unclear,uncertain,FALSE,"metà dei contrasti usa l'etichetta generica 'Treated (Coriell AGxxxx) => Control (Coriell AGxxxx)' senza specificare la perturbazione, mentre altri mostrano 'miR-9/9*-124 + sh7SK' (combo con shRNA aggiuntivo): non verificabile dalle sole etichette se tutti i bracci condividono lo stesso asse miR-9/9*-124."
