cluster_id,study_id,caso,motivo
cgroup_L5_2e16719f,GSE223682,C,"'HBEC3KT + TGFB1' contro 'HBEC3KT + PBS' e, nel riferimento, 'TGFB1-treated HBEC3KT' contro 'PBS-treated HBEC3KT': stesso contrasto."
cgroup_L5_2e16719f,GSE225549,C,"Cambia quale braccio clinico e' poolato (Post-COVID + Healthy Donor ora, Post-COVID + IPF nel riferimento). Tutti internamente appaiati: entrambe difendibili."
cgroup_L5_2e16719f,GSE232640,C,"'TGFb-treated LX2 cells' contro 'Untreated LX2 cells' in entrambi i run, con un trattino in piu'."
cgroup_L5_2e16719f,GSE245621,C,"Ora un solo confronto 'PANC-1 TGFbeta' contro 'PANC-1 no treatment'; il riferimento ne aveva due, il secondo con 'proliferating' dichiarato solo sul trattato. Il nuovo insieme e' piu' pulito ma l'etichetta non prova che 'proliferating' fosse una condizione e non lo stato indotto dal trattamento."
cgroup_L5_2e16719f,GSE246391,C,"'TGF-beta1 Stimulation' contro 'Control (No Treatment)' ora, 'TGF-beta1 stimulated' contro 'Untreated' nel riferimento: stesso contrasto."
cgroup_L5_2e16719f,GSE248794,C,"'Wild-type, TGF-beta1, 0h' contro 'Wild-type, PBS, 0h' e la stessa coppia scritta '0 hours' nel riferimento: identiche."
cgroup_L5_2e16719f,GSE264288,C,"Stessi tre confronti appaiati per genotipo (wild-type, CRISPLD2 knockdown, CRISPLD2 up-regulate) contro il rispettivo veicolo in entrambi i run."
cgroup_L5_2e16719f,GSE49159,C,"Ora 'Donor A, TGFbeta' contro 'Donor A, untreated' (appaiamento per donatore leggibile); nel riferimento 'TGFbeta' contro 'Control (skin)', dove l'appaiamento non era verificabile ma nemmeno contraddetto."
cgroup_L5_2e16719f,GSE88757,C,"'PANC-1 + TGFb 72h' contro 'PANC-1 + vehicle 72h' in entrambi i run, cambia solo la maiuscola."
cgroup_L5_2e16719f,GSE96975,C,"'TGFB1 stimulated' contro 'Control (No treatment)' ora, 'TGFB1 Stimulated Cardiac Fibroblasts' contro 'Untreated Cardiac Fibroblasts' nel riferimento: stesso contrasto."
cgroup_L5_2e16719f,GSE97358,A,"Il riferimento aveva quattro confronti, TRE appaiati per etnia (Chinese con Chinese, Indian con Indian, Malay con Malay) e UNO solo disallineato. Il nuovo run PERDE l'appaiamento Chinese contro Chinese, duplica la riga Chinese contro Malay e ne aggiunge una Chinese-M contro Indian-F che incrocia anche il sesso: passa da 1 riga difettosa su 4 a 3 su 5. Peggioramento leggibile sull'etichetta."
cgroup_L5_2e16719f,GSE134298,A,"USCITO verso nessuna meta-analisi. Nel riferimento 'MCF10A TGF-beta-1 6 days' contro 'MCF10A 6 days': appaiato nel tempo, sulla linea e sull'entita'. Contributo corretto perso."
cgroup_L5_2e16719f,GSE134595,A,USCITO verso nessuna meta-analisi. Nel riferimento 'Glioma Stem-Like Cells Stimulated with TGF-β' contro 'Glioma Stem-Like Cells Treated with ddH2O Vehicle Control': materiale e veicolo appaiati. Perdita.
cgroup_L5_2e16719f,GSE142417,A,USCITO verso nessuna meta-analisi. Nel riferimento 'TGFB1 (VS007)' contro 'Control (VS007)': stessa linea sui due bracci. Perdita.
cgroup_L5_2e16719f,GSE161176,B,"USCITO, e bene. Tutti e sei i confronti del riferimento erano difettosi sul passaggio ('Passage 26/24/12/9/8/6' tutti contro 'Passage 3', stesso donatore). Il nuovo run li lascia fuori."
cgroup_L5_2e16719f,GSE178518,A,"USCITO verso nessuna meta-analisi. Nel riferimento 'Vehicle A + TGFb' contro 'Vehicle A': veicolo identico sui due bracci, contrasto pulito. Perdita."
cgroup_L5_2e16719f,GSE247237,B,"USCITO, e bene. Il confronto del riferimento era 'macromolecular crowding model + DHACM + TGFβ1' contro 'macromolecular crowding model + basal media': DHACM solo nel trattato."
cgroup_L5_2e16719f,GSE252425,A,USCITO verso nessuna meta-analisi. Nel riferimento 'TGFBeta' contro 'Vehicle': contrasto pulito sull'entita' del gruppo. Perdita.
cgroup_L5_a32e5eaa,GSE108177,C,"Cambia la linea poolata: 'MCF7 + 5-aza-CdR' contro 'MCF7 + PBS' ora, 'HL60 ... 5-aza-CdR' contro 'HL60 ... PBS' nel riferimento. Entrambi appaiati per linea e veicolo."
cgroup_L5_a32e5eaa,GSE140347,C,Stesso confronto UCSD-AML1 decitabina contro non trattato; il riferimento dichiarava anche la dose (100 nM).
cgroup_L5_a32e5eaa,GSE142381,B,"ENTRATO. 'HKC_Decitabine_300nM' contro 'HKC_DMSO': stessa linea, veicolo appaiato, entita' giusta. Il riferimento non lo poolava affatto."
cgroup_L5_a32e5eaa,GSE155336,C,"Il nuovo run porta due righe con etichette e numerosita' IDENTICHE, il riferimento una sola. L'etichetta non distingue i due bracci: non si puo' dire se il secondo sia un braccio legittimo o una duplicazione. Scelgo la lettura che non sovrastima e lo dichiaro come raddoppio di peso."
cgroup_L5_a32e5eaa,GSE171073,C,"Cambia il modello PDX poolato (Gar15-13 ora, HCI005 nel riferimento): entrambi appaiati per modello."
cgroup_L5_a32e5eaa,GSE175867,C,"'DAC 10 µM' contro 'DMSO' in entrambi i run: identici, cambia la spaziatura."
cgroup_L5_a32e5eaa,GSE198670,C,"Il riferimento aveva anche '786-O DAC Day23' contro '786-O untreated', pulito, che ora non e' poolato; i due confronti rimasti sono identici nei due run e l'etichetta non dice perche' il Day23 sia caduto."
cgroup_L5_a32e5eaa,GSE216988,C,Lo stesso trattato 'Decitabine Recovery' e' appaiato a 'Control Late' ora e a 'Control Early' nel riferimento. Una delle due letture e' sbagliata e l'etichetta non dice quale: 'Recovery' non e' omologo a nessuno dei due descrittori.
cgroup_L5_a32e5eaa,GSE218060,C,"Entrambi i run appaiano DAC e DMSO nella stessa sede (milza con milza, midollo con midollo); il riferimento portava tre confronti, ora due."
cgroup_L5_a32e5eaa,GSE145639,C,"CORREGGO IL LETTORE. Lo studio non e' 'perso': ora sta in CHEBI:84491 (poly(I:C)). Le etichette del RIFERIMENTO ('5-AZA-CdR D5' contro 'Mock-Treated D5'; 'ADAR1 Knockdown + 5-AZA-CdR D5' contro 'ADAR1 Knockdown + Mock-Treated D5') isolano la decitabina, ma il materiale NON mostra le etichette che il nuovo run assegna a quei campioni: se il nuovo run pool a un braccio poly(I:C) davvero esistente in quello studio, ha ragione lui. L'etichetta non basta per scegliere."
cgroup_L5_a32e5eaa,GSE217421,C,"ACCOLGO IL CRITICO A SUL FATTO, NON SULLA SUA INFERENZA. Il fatto: lo studio non e' perso — fra le 25 chiavi di destinazione c'e' CHEBI:78543, cioe' il gruppo ponatinib di QUESTO stesso blocco, dove GSE217421 compare con 'Ponatinib-treated cardiac myocytes' contro 'DMSO-treated cardiac myocytes'; e' uno screening ripartito per composto, quindi il verdetto A del lettore non regge. L'inferenza del critico — 'tre etichette identiche provano un collasso di lettura del vecchio run' — non regge nemmeno lei: nello STESSO studio il riferimento indicizza i bracci per donatore ('MSN06', 'MSN05', 'donor 1'), quindi tre righe 'Decitabine-treated cardiac myocytes' identiche si spiegano altrettanto bene come tre donatori. Non si vede se lo studio abbia davvero un braccio decitabina: l'etichetta non basta."
cgroup_L5_a32e5eaa,GSE223688,A,"USCITO verso nessuna meta-analisi. Nel riferimento 'SETD2 KO + Decitabine 100nM' contro 'SETD2 KO + DMSO': genotipo identico sui due bracci, veicolo appaiato, entita' giusta. Contributo corretto perso."
cgroup_L5_4b901bf1,GSE142582,C,"Il nuovo run aggiunge 'Psoriasis non-lesion' contro 'Healthy skin control' al confronto lesionale gia' presente nel riferimento. Entrambe le letture sono difendibili — cute non lesionale di paziente psoriasico contro cute sana resta paziente contro sano, ma non e' il contrasto lesionale — e l'etichetta non decide quale insieme sia quello giusto."
cgroup_L5_4b901bf1,GSE150851,C,Il riferimento appaiava ogni caso a un donatore sano nominato ('Donor 7300' contro 'Donor 6532' ecc.); ora cinque 'Psoriasis Case N' vanno tutti contro lo stesso 'Healthy Control 1'. In un caso-controllo entrambe le scelte sono legittime; la nuova e' meno informativa e riusa cinque volte lo stesso controllo.
cgroup_L5_bb8cb388,GSE135485,C,"'Endometriosis' contro 'Healthy Endometrium' ora, 'Endometriosis patients' contro 'Healthy controls' nel riferimento: stesso contrasto, formulazione diversa."
cgroup_L5_bb8cb388,GSE153740,C,"Il riferimento dichiarava il tessuto su entrambi i bracci ('Eutopic endometrium with Ovarian endometriosis' contro 'Eutopic endometrium Healthy'), il nuovo run no. Nessuna delle due etichette mostra un disallineamento: la nuova e' solo meno verificabile, e l'etichetta non basta per preferirne una."
cgroup_L5_bb8cb388,GSE87809,C,"Cambia il paziente di controllo ('Patient 5' ora, 'Patient 7' nel riferimento) contro lo stesso 'Endometriosis (Patient 1)'. In un caso-controllo il controllo e' per forza un altro soggetto: entrambe difendibili."
cgroup_L5_3824dc37,GSE147304,C,"'Liver tissue from NASH patients' contro 'Healthy liver tissue' ora, 'Liver Tissue with NASH' contro 'Control Liver Tissue' nel riferimento: stesso contrasto, stesso materiale."
cgroup_L5_3824dc37,GSE162694,B,"ENTRATO con tre confronti sull'entita' e appaiati per materiale ('NASH, Fibrosis Stage 0/1/3' contro 'Normal Liver Histology'); il riferimento non lo poolava in nessuna meta-analisi. Dichiaro che i tre confronti condividono gli stessi 20 controlli e non sono indipendenti."
cgroup_L5_3824dc37,GSE173735,A,USCITO verso nessuna meta-analisi. Nel riferimento 'NASH' contro 'Healthy': contrasto pulito e sull'entita'. Contributo corretto perso.
cgroup_L5_a8ff7b6d,GSE142383,C,"'BKO-98 ATRA' contro 'BKO-98 untreated' ora, 'SH SY5Y BKO-98 ATRA Treated' contro 'SH SY5Y BKO-98 Untreated Control' nel riferimento: stesso contrasto, la nuova etichetta perde solo il nome della linea parentale."
cgroup_L5_a8ff7b6d,GSE175757,B,"ENTRATO. 'Kasumi1 unmodified ATRA' contro 'Kasumi1 unmodified untreated': linea e stato genetico identici sui due bracci, entita' giusta. Il riferimento non lo poolava affatto."
cgroup_L5_a8ff7b6d,GSE93996,A,USCITO verso nessuna meta-analisi. Nel riferimento 'HL-60 + ATRA' contro 'HL-60 + ethanol': stessa linea e veicolo corretto dell'ATRA. Contributo corretto perso.
cgroup_L5_cf34c533,GSE108406,B,"ENTRATO. 'Nutlin-3' contro 'Control': confronto sull'entita' del gruppo, che il riferimento non poolava in nessuna meta-analisi."
cgroup_L5_cf34c533,GSE139862,C,"'PAEC passage 3 treated with Nutlin-3' contro 'PAEC passage 3 treated with DMSO' ora e la stessa coppia con dose e tempo nel riferimento: stesso contrasto, passaggio appaiato in entrambi."
cgroup_L5_cf34c533,GSE80716,C,"SPOSTATO da STR:nutlin_3a a CHEBI:46742. Il trattato e' 'Nutlin-3a' nel riferimento e 'Nutlin-3' ora, contro 'DMSO' in entrambi: e' la stessa molecola (enantiomero attivo contro racemo) e l'etichetta non dice quale scrittura sia quella della sorgente. Il nuovo run de-frammenta, ma la scelta non e' decisa dall'etichetta."
cgroup_L5_cf34c533,GSE59841,A,USCITO verso nessuna meta-analisi. Nel riferimento 'nutlin 10uM' contro 'DMSO': contrasto pulito e sull'entita'. Contributo corretto perso.
cgroup_L5_988d478d,GSE191279,B,"Nel riferimento questo studio era poolato SOLO sotto TGFB1; ora contribuisce anche il contrasto di malattia 'COPD, 7/13 days of culture' contro 'Healthy, 7/13 days of culture', appaiato sul giorno di coltura e sull'entita' del gruppo. E' un contrasto legittimo che il riferimento non raccoglieva. Dichiaro che gli 11 controlli 'Healthy, 13 days of culture' servono contemporaneamente questo gruppo e il gruppo TGFB1."
cgroup_L5_988d478d,GSE268499,C,"Ora due confronti ('COPD case 1', 'case 2' contro 'Healthy control'), nel riferimento uno solo col materiale dichiarato ('COPD PBMCs' contro 'Healthy PBMCs'). Nessuno dei due mostra un disallineamento; la nuova etichetta e' solo meno informativa."
cgroup_L5_988d478d,GSE57148,C,"Ora due confronti per paziente contro lo stesso 'Healthy control 1', nel riferimento uno solo col tessuto dichiarato ('COPD lung tissue (donor 4136)' contro 'Normal lung tissue (small group)'). Entrambe le letture sono caso-controllo difendibili; l'etichetta non dice quale partizione sia quella vera, e in nessuna delle due il braccio da 94 campioni e' spiegato."
cgroup_L5_988d478d,GSE178807,A,"USCITO verso nessuna meta-analisi. Nel riferimento 'COPD Bronchial Epithelium (Donor 1)' contro 'Normal Bronchial Epithelium': stesso materiale sui due bracci, entita' giusta. Contributo corretto perso."
cgroup_L5_56d531e8,GSE172494,B,"Il riferimento poolava solo la coppia MDA-MB-468; ora c'e' anche 'MDA-MB-231 cells treated with 20 mM Nicotinamide for 48 hours' contro 'MDA-MB-231 cells untreated', appaiata per linea e sull'entita'. Il nuovo run aggiunge un confronto pulito che il vecchio non aveva."
cgroup_L5_356eedd3,GSE234148,C,"'Ex vivo human pancreatic islets treated with TSA' contro '... treated with DMSO' ora e la stessa coppia con la dose '(0.5 µM)' nel riferimento: stesso contrasto, cambia solo il dettaglio della dose."
cgroup_L5_16525349,GSE186341,C,"Contraddizione non risolvibile sul tipo di controllo: per LNCaP il riferimento diceva 'LNCaP_Ponatinib_0.135uM_24h' contro 'LNCaP_UNTREATED' e ora e' contro 'LNCaP cells treated with DMSO'; per NCI-H1793 e' esattamente l'inverso. Le due letture si escludono a vicenda e l'etichetta non dice quale sia fedele alla sorgente. Il nuovo run perde inoltre tre bracci puliti (HSTS, AsPC-1 e il confronto generico) senza che se ne legga il motivo."
cgroup_L5_16525349,GSE217421,C,"Il riferimento aveva due confronti indicizzati per donatore, uno dei quali dichiarava il donatore solo sul trattato ('Ponatinib-treated MSN05 cardiac myocytes' contro 'DMSO-treated cardiac myocytes'); ora ne resta uno con etichette generiche su entrambi i lati. Nessuna delle due versioni mostra un disallineamento provabile: la nuova e' solo meno verificabile."
cgroup_L5_16525349,GSE95079,C,"'Ponatinib' contro 'DMSO' ora, 'LM2 Triple Negative Breast Cancer Cells Treated with Ponatinib' contro '... Treated with DMSO Vehicle Control' nel riferimento: stesso contrasto, la nuova etichetta perde solo il nome della linea."
cgroup_L5_16525349,GSE146096,C,"CORREGGO IL LETTORE, accogliendo il critico A. Lo studio non e' 'portato sotto entita' che il confronto non isola': non si vedono affatto le etichette che il nuovo run gli assegna, si vedono solo le due chiavi di destinazione (CHEBI:49603 e CHEBI:50924). Le tre righe del riferimento sono BYTE-IDENTICHE fra loro ('Ponatinib 100nM' contro 'Vehicle Control'), il che e' compatibile sia con tre bracci di composti diversi collassati sul nome del ponatinib dal vecchio run, sia con tre repliche/donatori genuini. L'etichetta non basta per scegliere: e' C, non A."
cgroup_L5_c040a36d,GSE126964,C,"Il riferimento aveva quattro confronti con etichette mute ('Case T1a Grade1' contro 'Control T1a'), ora sei con il descrittore di paziente. Le etichette nuove RIVELANO che i normali sono riusati fra pazienti e che in un caso il sesso non torna — cosa che le vecchie nascondevano — ma in un caso-controllo entrambe le partizioni sono difendibili e l'etichetta non dice quale sia quella vera. Il nuovo run e' comunque piu' auditabile."
cgroup_L5_c040a36d,GSE252600,A,USCITO verso nessuna meta-analisi. Nel riferimento tre confronti puliti e sull'entita' ('Clear cell renal cell carcinoma stage 1/2/3' contro 'Normal kidney tissue'). Contributo corretto perso.
cgroup_L5_777adc83,GSE123807,B,ENTRATO (gruppo nuovo). 'G007-LK' contro 'DMSO': confronto pulito e sull'entita'; il riferimento non poolava questo studio in nessuna meta-analisi.
cgroup_L5_777adc83,GSE162648,B,"ENTRATO. Quattro confronti appaiati per linea (COLO320DM, OVCAR-4, RKO, UO-31, ciascuna contro se stessa in DMSO); il riferimento non li poolava affatto. Dichiaro che questi quattro confronti da soli valgono quasi tutto il peso del gruppo."
cgroup_L5_777adc83,GSE220061,B,ENTRATO. 'G007-LK treated' contro 'Vehicle control' e 'G007-LK treated (additional)' contro 'Vehicle control (additional)': entita' giusta e marcatore presente su entrambi i bracci; il riferimento non lo poolava.
cgroup_L5_d9e23e09,GSE115311,C,"Il nuovo tiene la sola coppia «ES-derived vascular smooth muscle cells, TNFa stimulation» vs «... untreated»; la coppia MSC persa nel riferimento portava 'undifferentiated' solo sul controllo, che e' un qualificatore unilaterale e non un difetto provato. Perdita di copertura, non correzione."
cgroup_L5_d9e23e09,GSE129210,B,"ENTRATO con «TNF» vs «Untreated», appaiamento pulito; il riferimento non lo poolava in nessuna meta-analisi."
cgroup_L5_d9e23e09,GSE130226,C,"Ora 5 entry «CFTRpos TNFα (2..5)» contro lo stesso «CFTRpos Untreated», nel riferimento 2 coppie (Caco2 parentale + CFTRpos). Entrambe appaiate: il nuovo perde il parentale e ripete il controllo."
cgroup_L5_d9e23e09,GSE132958,C,Solo riscrittura del trattato («TNF-alpha stimulated» → «TNF-alpha»); l'asimmetria col «Nontargeting control» e' presente in entrambe le esecuzioni.
cgroup_L5_d9e23e09,GSE161021,C,«TNF Stimulation» vs «Control (PBS)» contro «TNF-treated» vs «PBS-treated»: stesso contrasto.
cgroup_L5_d9e23e09,GSE161761,C,Il nuovo aggiunge «TNF for 2 days» accanto a «TNF for 14 days» contro lo stesso «Untreated». Nessuna delle due assegnazioni e' smentita dall'etichetta; dichiaro pero' che il controllo non datato non puo' essere appaiato a due durate.
cgroup_L5_d9e23e09,GSE163548,C,"Ora l'articolazione e' dichiarata sui due bracci e si aggiunge il ginocchio; nel riferimento il codice donatore stava solo sul controllo. Nessuna delle due etichette prova un difetto: il nuovo e' piu' esplicito e copre di piu', ma non corregge un errore provato."
cgroup_L5_d9e23e09,GSE186396,C,"La coppia «Primary Melanoma BLM cells, Untreated, TNF 6h» vs «Melanoma BLM cells, Untreated» e' identica nelle due esecuzioni; il nuovo perde la coppia appaiata sul genotipo sgRNF31. Perdita di copertura."
cgroup_L5_d9e23e09,GSE190181,C,"«TNF» vs «PBS» contro «TNF-treated HUVEC» vs «PBS-treated HUVEC»: stesso contrasto, etichette nuove meno informative."
cgroup_L5_d9e23e09,GSE190634,C,Donatore 1 dichiarato sui due bracci in entrambe le esecuzioni; cambia solo la grafia.
cgroup_L5_d9e23e09,GSE196243,C,Il riferimento aveva una coppia pulita (HC vs HC) E una asimmetrica (NDAS vs Untreated); il nuovo tiene una sola coppia asimmetrica (IIU040 vs Untreated). E' perdita di copertura: la forma asimmetrica esisteva gia' nel vecchio run.
cgroup_L5_d9e23e09,GSE202436,C,Le 8 coppie appaiate per tempo ci sono in entrambe; il nuovo toglie il lato del polmone dall'etichetta producendo quattro coppie indistinguibili. Contrasto invariato.
cgroup_L5_d9e23e09,GSE210522,C,"Il nuovo tiene solo la coppia Eahy926 e perde quella TeloHAEC, entrambe appaiate. Perdita di copertura."
cgroup_L5_d9e23e09,GSE211439,C,«TNF-alpha-stimulated HBMEC» vs «Media control HBMEC»: identico al riferimento a meno del participio.
cgroup_L5_d9e23e09,GSE215039,C,Il nuovo sostituisce la coppia OA con una seconda replica non-OA; lo stato OA/non-OA resta appaiato sui due bracci in entrambe.
cgroup_L5_d9e23e09,GSE215275,C,Sola riscrittura («stimulated with» → «treated with»); il soggetto resta dichiarato solo sul trattato in entrambe.
cgroup_L5_d9e23e09,GSE225274,B,ENTRATO con «TNFα-treated human gastric antral organoids» vs «Untreated WT human gastric antral organoids»; il riferimento non lo poolava affatto. Resta il caveat che 'WT' e' solo sul controllo.
cgroup_L5_d9e23e09,GSE226186,C,"Le etichette sono letteralmente le stesse nelle due esecuzioni: cambia la composizione a monte, non l'appaiamento."
cgroup_L5_d9e23e09,GSE236122,C,Genotipo e sede appaiati in entrambe; cambia solo la forma dell'etichetta.
cgroup_L5_d9e23e09,GSE246340,C,"Il nuovo degrada «TNF-α Treated MSCs» / «Negative Control MSCs» a «TNF-α» / «Control»: stesso contrasto, meno informazione."
cgroup_L5_d9e23e09,GSE70068,C,"Nel riferimento il donatore era dichiarato solo sul controllo, ora nessun lato lo dichiara: qualificatore unilaterale in un caso, assente nell'altro. Nessuna etichetta prova un difetto."
cgroup_L5_d9e23e09,GSE151854,A,"USCITO: «TNFα stimulated (50 ng/mL, 3h) in HUVECs from umbilical cord» vs «Untreated control» e' pulito e appaiato, e ora non e' poolato in nessuna meta-analisi."
cgroup_L5_d9e23e09,GSE159894,A,"USCITO: «TNF-α» vs «Untreated», contrasto pulito, ora perso del tutto."
cgroup_L5_d9e23e09,GSE217421,C,"Studio a molti bracci con un unico «DMSO-treated cardiac myocytes»: il riferimento ne poolava il braccio TNF qui, il nuovo pool a i bracci-farmaco sotto le rispettive chiavi. Ciascuna assegnazione e' corretta per il braccio che pool a."
cgroup_L5_d9e23e09,GSE95078,A,"USCITO: «Diseased - TNF» vs «Diseased - Vehicle» e' appaiato sullo stato di malattia e sul veicolo, e ora non e' piu' poolato."
cgroup_L5_eb5e1e65,GSE179347,C,"Il nuovo tiene HMCL-7304 e SGBS e perde HepG2, tutte e tre appaiate per linea. Perdita di copertura."
cgroup_L5_eb5e1e65,GSE198683,A,"Il nuovo INTRODUCE il disallineamento di donatore «Dexamethasone (DonorID 3)» vs «Control (DonorID 1)»; nel riferimento la coppia era «Dexamethasone (DonorID 1)» vs «Control», senza mismatch leggibile."
cgroup_L5_eb5e1e65,GSE205890,C,"Stesse due coppie appaiate per linea (H1, H9), cambia solo la grafia."
cgroup_L5_eb5e1e65,GSE207409,C,"Il nuovo pool a 1h e 3h, il riferimento 1h e 6h, tutti contro un «Vehicle» che non dichiara tempo: l'etichetta non permette di scegliere."
cgroup_L5_eb5e1e65,GSE225901,C,"Il nuovo aggiunge il Donor 3 accanto al Donor 1 contro lo stesso «Human Islet + DMSO»; nessuna delle due assegnazioni e' smentita dall'etichetta, che sul controllo non nomina donatori."
cgroup_L5_eb5e1e65,GSE237803,C,"Le due coppie restano appaiate sul genotipo (AR KO, DAXX KO); il nuovo abbrevia i nomi delle linee."
cgroup_L5_eb5e1e65,GSE52778,C,"Stessa coppia in entrambe, con l'identica dicitura «and ERCC mix» sul trattato: nessuna delle due esecuzioni e' migliore dell'altra."
cgroup_L5_eb5e1e65,GSE56022,C,Stesse due coppie (2h e 4h contro «Vehicle»); il nuovo aggiunge il nome della linea.
cgroup_L5_eb5e1e65,GSE96649,C,"«A549 cells treated with dexamethasone» vs «Vehicle-treated A549 cells»: stesso contrasto del riferimento, piu' esplicito."
cgroup_L5_eb5e1e65,GSE115514,A,"USCITO: «Monocytes treated with Dexamethasone (Dex)» vs «Monocytes treated with DMSO vehicle» e' appaiato e pulito, e ora non e' poolato."
cgroup_L5_eb5e1e65,GSE221103,B,USCITO a ragione: «SKNAS cells treated with 4OHT and dexamethasone (vehicle)» vs «SKNAS cells treated with ethanol (vehicle)» dichiara il desametasone come VEICOLO e isola il 4OHT.
cgroup_L5_3a0a595f,GSE151159,C,"Entrambe appaiate: ora per fenotipo («Resistant CLL, Dasatinib» vs «Resistant CLL, Control»), nel riferimento per donatore («Dasatinib-treated (Donor A)» vs «Untreated (Donor A)»)."
cgroup_L5_3a0a595f,GSE184427,A,"Il nuovo produce l'incrocio 147-contro-73; nel riferimento c'erano tre coppie tutte appaiate sullo stesso modello (147→147, 78→78, 81→81). Qui il vecchio azzeccava."
cgroup_L5_3a0a595f,GSE186341,C,"Cinque coppie appaiate per linea in entrambe le esecuzioni, ma su linee diverse. Le etichette non decidono."
