study_id,caso,meccanismo,motivo
GSE107638,C,l appaiamento del braccio di controllo cambia,"Correggo il lettore (diceva A). La sua motivazione era 'OLIG2 Vehicle non dichiara piu' un controllo sano', ma la stessa etichetta era stata da lui dichiarata artefatto due righe sopra. Sull'etichetta la coppia resta appaiata per tipo cellulare ('OLIG2 Schizophrenia' vs 'OLIG2 Vehicle'), come nel riferimento ('OLIG2 Schizophrenia' vs 'OLIG2 Control'). Resta il fatto verificabile che il confronto Cyto sparisce (2 ora contro 3): perdita di copertura, non difetto di appaiamento."
GSE107781,B,lo studio entra o esce dal pooling,"Entra ora con ""C4-2B + EPZ6438"" vs ""C4-2B + DMSO"", coppia appaiata sulla stessa linea; nel riferimento non era poolato in nessuna meta-analisi."
GSE108038,A,lo studio entra o esce dal pooling,"USCITO. ""IL4"" vs ""control"" era appaiato e senza difetto leggibile: perdita netta."
GSE108177,C,l appaiamento del braccio di controllo cambia,"Cambia la linea poolata: 'MCF7 + 5-aza-CdR' contro 'MCF7 + PBS' ora, 'HL60 ... 5-aza-CdR' contro 'HL60 ... PBS' nel riferimento. Entrambi appaiati per linea e veicolo."
GSE108308,C,solo la formulazione dell etichetta cambia,"Solo formulazione: `MCF-7 + estradiol (10 nM)` → `MCF-7 + vehicle` contro `estradiol` → `vehicle`. La nuova e' piu' esplicita, l'appaiamento non cambia."
GSE108406,B,lo studio entra o esce dal pooling,"ENTRATO. 'Nutlin-3' contro 'Control': confronto sull'entita' del gruppo, che il riferimento non poolava in nessuna meta-analisi."
GSE109181,C,solo la formulazione dell etichetta cambia,"Stesso contrasto con etichetta piu' esplicita (""Treated (poly(I:C))"" contro ""Control (vehicle)"")."
GSE109313,C,l appaiamento del braccio di controllo cambia,"Due confronti in entrambe le esecuzioni; ora il controllo nasale nomina l'individuo ('Normal Nasal Epithelium Indiv 1'), prima era generico. Il materiale resta appaiato in tutte e due."
GSE109720,B,lo studio entra o esce dal pooling,"ENTRATO: 'EBC1 cells treated with Crizotinib' → 'EBC1 cells with no treatment', appaiato sulla stessa linea."
GSE110041,B,lo studio entra o esce dal pooling,"ENTRATO: nel riferimento non era poolato, ora porta tre confronti di IL-3 vera appaiati per tempo ('IL3 6h'→'Untreated 6h', 'IL3 24h'→'Untreated 24h'). Il nuovo recupera l'entita' giusta e riduce il peso relativo dell'intruso."
GSE110397,B,lo studio entra o esce dal pooling,ENTRATO con coppia appaiata per linea ('H2030 Trametinib' vs 'H2030 Vehicle').
GSE110709,A,lo studio entra o esce dal pooling,"USCITO: tre coppie appaiate per linea (LAN5, SK-N-BE(2), SK-N-FI contro il rispettivo controllo); ora non e' poolato. Era l'unico contributo di neuroblastoma del gruppo."
GSE110935,A,lo studio entra o esce dal pooling,USCITO: «CF Donor 3» vs «Healthy Control Donor 17» e' un caso-controllo legittimo (donatori diversi sono il disegno) e ora non e' poolato in nessuna meta-analisi.
GSE110947,B,lo studio entra o esce dal pooling,"ENTRATO con una coppia appaiata nel tempo ('LPS (4h) Donor 34' vs 'Vehicle control (4h)'). Il donatore non e' ripetuto nel controllo: assenza di annotazione, sospetto non difetto; l'ingresso resta un guadagno."
GSE111009,C,altro,Stessi due contrasti (con e senza p53shRNA su entrambi i bracci); cambia il solo suffisso dell'etichetta.
GSE111379,C,solo la formulazione dell etichetta cambia,"Stessa coppia HeyA8/DMSO, cambia solo la dicitura."
GSE112057,C,altro,"Il controllo passa da ""Healthy Control"" a ""Control"": differenza di sola scrittura."
GSE112523,C,altro,"'Schizophrenia (Donor 9)' vs 'Control (Donor 10)' ora, 'Schizophrenia (Donor 9)' vs 'Control (Donor 21)' prima: in un caso-controllo i donatori differiscono per forza e l'etichetta non permette di preferire una coppia all'altra."
GSE112568,A,lo studio entra o esce dal pooling,"USCITO: portava `SW620 + Estradiol` → `SW620 + DMSO`, appaiato; ora non e' poolato in nessuna meta-analisi."
GSE112983,B,lo studio entra o esce dal pooling,ENTRATO con appaiamento pulito (`Estradiol-treated HepG2 cells` → `DMSO-treated HepG2 cells`).
GSE113185,A,lo studio entra o esce dal pooling,"USCITO. ""IL-4"" vs ""DMSO"": il controllo e' un veicolo, ammesso dal verso del gruppo, e nessuna etichetta mostra un mismatch fra i bracci."
GSE113210,C,altro,"Stessa assegnazione nelle due esecuzioni, cambia solo l'etichetta ('influenza' vs 'control' ora, 'influenza at AV' vs 'Control CV' prima). Nessuna delle due e' preferibile sull'etichetta, ma va detto che il run NUOVO rende invisibile il segnale (le sigle di visita) su cui poggia il verdetto di incoerenza."
GSE113524,C,altro,"Un confronto ora ('Alzheimer's Disease (Patient1)'→'Healthy'), due nel riferimento (Patient1 e Patient2). Entrambe pulite: il nuovo perde un paziente, nessuna delle due assegnazioni e' sbagliata."
GSE113604,C,altro,"3 coppie ora, 4 nel riferimento (manca 'RD-ES + JQ1' vs 'RD-ES + DMSO'). Tutte pulite in entrambe: differenza di sola copertura."
GSE113685,C,l appaiamento del braccio di controllo cambia,"Stesse due coppie: il nuovo aggiunge dose e tempo nell'etichetta (""HS 578T breast Paclitaxel 20nM 72h"" vs ""HS 578T TNBC DMSO"") dove il vecchio scriveva due volte ""HS 578T + Paclitaxel"" vs ""HS 578T + DMSO"". Nessuna differenza di contrasto; entrambe le rese condividono lo stesso controllo."
GSE113922,B,il tempo o la dose vengono dichiarati o persi,"Il riferimento poolava il solo donatore 1013; ora entrambi i donatori, ciascuno contro il PROPRIO veicolo ('donor 226 ... palbociclib' vs 'donor 226 ... vehicle control'). Nessun incrocio fra donatori: potenza in piu' senza difetti in piu'."
GSE114273,B,lo studio entra o esce dal pooling,"ENTRATO con 'olaparib' contro 'DMSO', appaiato: il riferimento lasciava fuori uno studio valido."
GSE114284,C,altro,"'BEAS-2B untreated (wild-type)' ora, 'BEAS-2B + untreated' prima: cambia solo l'annotazione del controllo, il contrasto e' identico."
GSE114686,B,l appaiamento del braccio di controllo cambia,"Il nuovo aggiunge ""Erlotinib 3 uM 72h"" vs ""DMSO 0.001 uM 72h"", appaiata nel tempo come la 24h che c'era gia'. Guadagno di un confronto pulito."
GSE115205,B,lo studio entra o esce dal pooling,"ENTRATO: entra 'SAHA 2.5uM 8330-8-RC1' vs 'DMSO 8330-8-RC1', appaiato per linea sui due bracci, che nel riferimento non era poolato in nessuna meta-analisi."
GSE115311,C,il tempo o la dose vengono dichiarati o persi,"Il nuovo tiene la sola coppia «ES-derived vascular smooth muscle cells, TNFa stimulation» vs «... untreated»; la coppia MSC persa nel riferimento portava 'undifferentiated' solo sul controllo, che e' un qualificatore unilaterale e non un difetto provato. Perdita di copertura, non correzione."
GSE115421,C,altro,"Stessa coppia, il nuovo toglie il riferimento al batch (""hASC-derived_adipocytes_rosiglitazone"" vs ""hASC-derived_adipocytes_DMSO"" contro ""Rosiglitazone-treated hASC-derived Adipocytes (fourth batch)"" vs ""DMSO-treated hASC-derived Adipocytes""). Nessun elemento nell'etichetta per scegliere."
GSE115514,A,lo studio entra o esce dal pooling,"USCITO: «Monocytes treated with Dexamethasone (Dex)» vs «Monocytes treated with DMSO vehicle» e' appaiato e pulito, e ora non e' poolato."
GSE115650,C,solo la formulazione dell etichetta cambia,"'FSHD male age 25' vs 'Control' ora, 'FSHD male 25 years old' vs 'Control 2' prima: stesso contrasto, sola riformulazione."
GSE116899,C,solo la formulazione dell etichetta cambia,Sola riformulazione: 'RA blood neutrophils' vs 'Healthy blood neutrophils' diventa 'RA Neutrophils (Blood)' vs 'Healthy Neutrophils (Blood)'.
GSE116927,C,solo la formulazione dell etichetta cambia,"Stesso contrasto IL-13 vs veicolo. Il riferimento aveva etichette nude ('IL13' vs 'Vehicle'), il nuovo aggiunge i descrittori 'tissue'/'epithelia': nessuna delle due versioni e' resa sbagliata dall'etichetta."
GSE117446,C,altro,"Stesso confronto, la linea passa da 'Glioma Cell Line' a 'Tumor-derived cell-line' su entrambi i lati: equivalenti."
GSE117610,C,solo la formulazione dell etichetta cambia,Stesso contrasto con etichetta abbreviata ('PC9 cells treated with Gefitinib'→'Untreated PC9 cells' contro 'PC9 NSCLC cells ...'→'Untreated PC9 NSCLC cells').
GSE117620,B,lo studio entra o esce dal pooling,"ENTRATO: 'TB98 cells treated with 10 nM resveratrol' e '... 20 uM resveratrol' vs 'TB98 cells treated with DMSO', appaiati per linea e veicolo."
GSE117769,A,altro,"Nel riferimento era 'Rheumatoid arthritis patient SN393' vs 'Healthy donor C137', caso-controllo pulito; ora non e' poolato in nessuna meta-analisi."
GSE117875,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento ""Crohn's disease ileum adolescent"" contro ""Healthy ileum adolescent"": sede ed eta' appaiate, perdita netta."
GSE117970,C,l appaiamento del braccio di controllo cambia,"Entrambe le esecuzioni appaiano per tipo cellulare (monociti con monociti, TAM con TAM); il difetto di compartimento e' pre-esistente e identico nelle due."
GSE118152,A,lo studio entra o esce dal pooling,"ENTRATO: il nuovo porta dentro 'DHT_ENZ' contro 'Control (EtOH_DMSO)', combinazione DHT+enzalutamide; il riferimento non poolava questo studio in nessuna meta-analisi."
GSE118319,C,solo la formulazione dell etichetta cambia,"Stessi tre contrasti, solo riscritti; l'asimmetria sul differenziamento e' presente identica in entrambe le esecuzioni (anzi il riferimento la scrive piu' esplicita), quindi nessuna delle due e' migliore dell'altra."
GSE118548,C,solo la formulazione dell etichetta cambia,Sola riscrittura ('Trametinib' vs 'DMSO' contro le stesse con '(2 replicates)').
GSE119047,C,il tempo o la dose vengono dichiarati o persi,"Correggo il lettore (diceva B). Il confronto perso dal run nuovo, 'IL17A TGFlo' vs 'PBS', non e' dimostrabilmente difettoso: 'PBS' e' nudo, non dichiara lo stato di TGF, e serve identico anche il braccio 'IL17A' semplice. Il run nuovo tiene un confronto pulito, il vecchio ne teneva due di cui uno non provabile: nessuna delle due assegnazioni e' smentita dall'etichetta."
GSE119606,C,l appaiamento del braccio di controllo cambia,"Le due coppie sono appaiate nel tempo (2h con 2h, 48h con 48h) in entrambi i run; cambia solo 'Vehicle control' contro 'Vehicle'."
GSE119978,B,lo studio entra o esce dal pooling,"ENTRATO con ""H358 Cisplatin"" vs ""H358 Vehicle (DMSO)"", coppia farmaco/veicolo sulla stessa linea che il riferimento non poolava affatto."
GSE120178,C,l appaiamento del braccio di controllo cambia,"Cinque confronti per paziente/sottogruppo contro 'Healthy' ora, uno solo ('RA Day 1 (Group 1)' vs 'Healthy Controls') nel riferimento. Entrambe sono caso-controllo appaiate; cambia la granularita' e, con essa, il peso dello studio nel gruppo — nel run nuovo fino al 98%."
GSE120523,B,lo studio entra o esce dal pooling,"ENTRATO con ""Hypoxia (Endothelial)"" contro ""Control"" dello stesso studio. Il rilievo del critico B non regge: il controllo nudo non dichiara un materiale diverso, e lo studio porta un solo confronto."
GSE120784,C,altro,"Le stesse quattro coppie per tipo cellulare, sola resa testuale diversa (""dermal fibroblasts IL-1b"" vs ""dermal fibroblasts unstimulated"" contro ""Dermal Fibroblasts IL-1b Stimulated"" vs ""Dermal Fibroblasts Unstimulated""). Nessuna differenza di contrasto."
GSE120886,B,altro,"Aggiunge la coppia pulita ""RCC4+VHL hypoxia"" contro ""RCC4+VHL normoxia"" e allinea il controllo HKC8 (""control"" invece di ""untreated"")."
GSE120891,C,solo la formulazione dell etichetta cambia,"Sola riformulazione: 'ARPE19 cells exposed to CMV/TB40e' diventa 'ARPE19 cells infected with CMV/TB40e (MOI=3) for 48 hours', con lo stesso 'mock-infected' in entrambe le esecuzioni."
GSE120904,C,altro,"Stessi tre confronti in entrambe le esecuzioni, con ""vehicle_only""/""vehicle only"" e ""(alternative)"" come sole differenze di grafia: il difetto ""IL15 and CP"" contro veicolo e' presente in tutte e due."
GSE121105,B,lo studio entra o esce dal pooling,"ENTRATO: 'BT474 trastuzumab' → 'BT474 no treatment', appaiato sulla stessa linea."
GSE121376,C,il tipo di controllo e stato normalizzato diversamente,"'Schizophrenia Case' vs 'Healthy Control (Negative)' contro 'Schizophrenia' vs 'Healthy Control': stessa entita', stesso verso, stesso tipo di controllo; '(Negative)' non e' interpretabile ma non sposta nulla."
GSE122274,C,altro,"Prima 'Mixed_ATN_AIN_sepsis' vs 'Mixed_ATN_AIN', ora 'ATN_sepsis' vs 'ATN'. In entrambe il fondo renale e' identico sui due bracci e il delta e' la sepsi: cambia il sottoinsieme di pazienti, non la correttezza."
GSE122305,A,altro,"Nel riferimento l'etichetta era un contrasto IL-17A pulito e sull'entita' del gruppo ('IL-17A' vs 'Control (PBS-0.1%BSA)'); ora lo studio compare solo sotto HGNC:11766 e HGNC:11892. Dichiaro il limite: le etichette nuove di quello studio non sono in questo blocco, quindi il giudizio poggia sul fatto che quella del riferimento e' inequivocabile."
GSE122409,A,l appaiamento del braccio di controllo cambia,"Il riferimento poolava anche ""CD3+ Vd2+ CD26+ CD94lo +IL2"" contro il proprio controllo di identico fenotipo: una terza coppia appaiata che il nuovo perde senza motivo leggibile."
GSE123141,B,altro,"Nel riferimento c'erano due confronti e uno portava una terapia scritta sul solo braccio malato ('Ulcerative Colitis, Systemic Immunosuppression, Never Smoked' → 'Normal Control, Never Smoked'); ora resta il solo strato senza terapia. Il nuovo azzecca dove il vecchio sbagliava. Dichiaro la scelta: il critico A legge l'immunosoppressione come strato clinico obbligatorio, ma lo stesso studio possiede lo strato non immunosoppresso, quindi l'esposizione non e' obbligatoria e la lettura che non sovrastima il dato e' quella che la conta come perturbazione aggiunta."
GSE123285,C,altro,Due voci con etichette identiche e stesso n contro una sola nel riferimento: dalle etichette non si decide se siano insiemi distinti o lo stesso confronto contato due volte.
GSE123468,C,l appaiamento del braccio di controllo cambia,"Un confronto 'FSHD' vs 'Control' ora, tre per paziente ('FSHD Patient 1/3/4' vs 'Control') nel riferimento: tutti caso-controllo appaiati, il nuovo perde granularita' ma non correttezza."
GSE123637,C,solo la formulazione dell etichetta cambia,Sola riscrittura ('MM.1S in vitro treated with Bortezomib' contro 'MM.1S_Bortezomib').
GSE123638,B,l appaiamento del braccio di controllo cambia,"Recuperata la coppia 'Bortezomib, shPSMD2' vs 'DMSO, shPSMD2', con la genetica appaiata sui due bracci; il riferimento aveva solo la 'uninduced'."
GSE123658,C,il tempo o la dose vengono dichiarati o persi,"Caso-controllo in entrambe, cambia solo il donatore sano scelto («Healthy donor 1790» ora, «Healthy donor 0131» nel riferimento)."
GSE123763,C,l appaiamento del braccio di controllo cambia,"Il riferimento aveva anche 'GAR15-13_DHT' contro 'GAR15-13_Vehicle'; entrambe le coppie sono appaiate sul modello. Differenza di potenza, non di appaiamento."
GSE123766,C,solo la formulazione dell etichetta cambia,Cambia solo la formulazione del trattato (`Enzalutamide (Replicate)` contro `Enzalutamide`) verso lo stesso `Vehicle`.
GSE123807,B,lo studio entra o esce dal pooling,ENTRATO (gruppo nuovo). 'G007-LK' contro 'DMSO': confronto pulito e sull'entita'; il riferimento non poolava questo studio in nessuna meta-analisi.
GSE124450,C,solo la formulazione dell etichetta cambia,Stesso contrasto con etichetta piu' ricca ora ('CLB-GA ... crizotinib (500 nM)'→'CLB-GA ... vehicle control') rispetto a 'Crizotinib 500 nM'→'Control'.
GSE124622,C,solo la formulazione dell etichetta cambia,"Riferimento 'Adriamycin-treated Podocytes' contro 'Untreated Podocytes'; ora 'Adriamycin-treated (replicate)' contro 'Control'. Stesso contrasto, si perde il tipo cellulare nel testo."
GSE124704,C,l appaiamento del braccio di controllo cambia,"Il nuovo pesca 6 confronti dove il vecchio ne pescava 3, aggiungendo LuCaP 77CR-ENZR D5 e LuCaP 96CR-ENZR D5, tutti appaiati modello-per-modello e tempo-per-tempo. Entrambe difendibili; sul nuovo resta il doppio conteggio della coppia EOS di LuCaP 96CR-ENZR (due entry con etichette identiche e lo stesso controllo)."
GSE124939,A,lo studio entra o esce dal pooling,Uscito. 'Normal IFNg control_4' → 'Normal control control_1': i suffissi leggono come identificativi di campione e il contrasto IFNg-vs-controllo e' nello stesso materiale 'Normal'. Perdita non giustificata dall'etichetta.
GSE125014,A,lo studio entra o esce dal pooling,"USCITO da ogni pooling; era 'LNCaP + DHT' contro 'LNCaP + Vehicle', appaiato: il nuovo perde un confronto valido."
GSE125066,A,lo studio entra o esce dal pooling,"ENTRATO portando dentro il confronto contaminato 'Wild-type T. gondii + IFN-β' vs 'Untreated'. Nel riferimento lo studio non era poolato, ma non per giudizio: entrambi i suoi gruppi cadevano per n_min. Il nuovo guadagna una riga pulita e ne guadagna una sbagliata; sulla riga sbagliata il vecchio non commetteva l'errore."
GSE125218,C,solo la formulazione dell etichetta cambia,Stesso contrasto sulla stessa linea; cambia la sola forma dell'etichetta.
GSE125245,A,altro,"Il riferimento aveva 3 confronti tutti puliti (DU145, LNCaP, VCaP THZ1 contro DMSO); il nuovo ne aggiunge un quarto che somma stimolazione AR e THZ1 contro solo veicolo."
GSE125437,A,lo studio entra o esce dal pooling,"Uscito. Era 'RS411 cells treated with EPZ-5676' vs 'RS411 cells treated with DMSO': stessa linea sui due bracci, confronto pulito, perso per omissione — e in un gruppo che ha gia' solo 1,4 studi efficaci."
GSE125518,C,solo la formulazione dell etichetta cambia,Sola riscrittura ('GSK-J4' vs 'DMSO' contro 'GSK-J4 treated' vs 'DMSO control').
GSE125933,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento due confronti appaiati per tempo ('Gefitinib (50uM, 24h)'→'Untreated (24h)' e 'Gefitinib (75uM, 24h)'→'Untreated (24h)'); ora non poolato. Perdita senza difetto leggibile."
GSE126003,C,solo la formulazione dell etichetta cambia,Ora 'WT_MCF7 + IL6' vs 'WT_MCF7 + PBS'; prima 'WT_MCF7 + EtOH + IL6' vs 'WT_MCF7 + EtOH + PBS'. L'etanolo era su entrambi i bracci: stesso contrasto.
GSE126395,C,solo la formulazione dell etichetta cambia,"Il riferimento diceva ""EPZ-6438-treated dermal fibroblasts"" vs ""DMSO-treated dermal fibroblasts"", il nuovo ""EPZ-6438"" vs ""DMSO"". Stesso contrasto; il nuovo perde solo il contesto cellulare nell'etichetta, e questo non basta per dire quale resa sia fedele."
GSE126409,A,cambia quali confronti dello studio sopravvivono,Il riferimento aveva otto confronti (ramo celiaco + ramo sano); ora restano i quattro sani perche' il ramo celiaco cade per n_min (il suo controllo si riduce a un campione). Il controllo a tempo zero NON e' introdotto dal nuovo: sono gli stessi GSM del riferimento con un'etichetta piu' esplicita. Il nuovo perde meta' dello studio.
GSE126517,C,il tempo o la dose vengono dichiarati o persi,"Il riferimento poolava due volte lo stesso confronto, il nuovo una: il difetto di combinazione c'e' identico in entrambi i run, nessuna delle due assegnazioni e' migliore dell'altra."
GSE126750,C,l appaiamento del braccio di controllo cambia,"Sola differenza ortografica sul trattato (""IL1beta-treated"" contro ""IL1b-treated""), stesso controllo ""DMSO-treated cerebellar astrocytes""."
GSE126775,C,altro,"Entrambe le esecuzioni portano il tag 'p53mut' sul solo braccio trattato, ma su righe diverse (PR-A 6h e PR-B 48h nel riferimento, PR-B 48h ora). La migrazione mostra che l'annotazione e' instabile: l'etichetta non stabilisce quale assegnazione sia quella giusta, e nessuna delle due e' pulita in senso stretto."
GSE126848,C,altro,"'NAFLD' vs 'Healthy' ora, 'NAFLD Male' vs 'Healthy' prima. Il riferimento restringeva il trattato ai maschi senza dire nulla del controllo, ma in un caso-controllo l'etichetta non basta a stabilire che i bracci differiscano davvero per sesso, ne' che la nuova nasconda qualcosa: entrambe difendibili."
GSE126964,C,il tempo o la dose vengono dichiarati o persi,"Il riferimento aveva quattro confronti con etichette mute ('Case T1a Grade1' contro 'Control T1a'), ora sei con il descrittore di paziente. Le etichette nuove RIVELANO che i normali sono riusati fra pazienti e che in un caso il sesso non torna — cosa che le vecchie nascondevano — ma in un caso-controllo entrambe le partizioni sono difendibili e l'etichetta non dice quale sia quella vera. Il nuovo run e' comunque piu' auditabile."
GSE128177,A,lo studio entra o esce dal pooling,"Con CORREZIONE. Uscito: il riferimento portava 'Parkinson's disease (male, age 65)' contro 'Healthy control (male, age 65)', appaiato per sesso ed eta', ora perso per omissione. Ma lo stesso studio portava anche un caso di 71 anni contro lo stesso controllo di 65: su metà del suo contributo l'appaiamento per eta' non c'era."
GSE128328,C,altro,"Caso-controllo in entrambe: cambia il paziente scelto («PCOS patient 2» ora, «patient 1» nel riferimento) contro lo stesso «Healthy control 1»."
GSE128728,C,altro,"Riferimento 'Doxorubicin-treated Spleen' contro 'Vehicle-treated Spleen'; ora '(Spleen, Case)' contro '(Spleen, Model)'. Stesso gruppo, stessa entita', stesso verso: cambia solo un token di classe il cui significato l'etichetta non fissa. Il vecchio era leggibile-pulito, il nuovo e' illeggibile, ma nulla prova che l'assegnazione sia cambiata."
GSE128940,C,solo la formulazione dell etichetta cambia,"'TGFB1-treated' contro 'Untreated hepatic stellate cells' ora, 'TGFB1 stimulated' contro lo stesso controllo nel riferimento: cambia il verbo."
GSE129153,A,lo studio entra o esce dal pooling,"Uscito. 'forskolin-treated' → 'untreated control', nessun difetto leggibile; ora non poolato. Perdita di potenza in un gruppo di tre studi."
GSE129210,B,lo studio entra o esce dal pooling,"ENTRATO con «TNF» vs «Untreated», appaiamento pulito; il riferimento non lo poolava in nessuna meta-analisi."
GSE130226,C,l appaiamento del braccio di controllo cambia,"Ora 5 entry «CFTRpos TNFα (2..5)» contro lo stesso «CFTRpos Untreated», nel riferimento 2 coppie (Caco2 parentale + CFTRpos). Entrambe appaiate: il nuovo perde il parentale e ripete il controllo."
GSE130246,A,altro,"Il riferimento poolava due confronti puliti (LNCaP e LNCaP sgTLE3); ora resta solo sgTLE3. Nessun difetto nuovo, ma si perde un membro pulito."
GSE130247,B,lo studio entra o esce dal pooling,"USCITO; era '22RV1 cells treated with DHT and ENZ' contro '22RV1 cells treated with EtOH_DMSO', combinazione con l'antagonista dentro il gruppo dell'agonista. Toglierlo e' corretto."
GSE130284,C,solo la formulazione dell etichetta cambia,"""Natural Killer Cells - IL-2 - 16 Hours"" contro il precedente ""... - 16h"": identico contrasto, sola riscrittura del tempo."
GSE130313,C,altro,"Stessi due contrasti stratificati (Diffuse SSc e Healthy control, ciascuno col proprio non trattato); cambia la sola grafia."
GSE131300,B,lo studio entra o esce dal pooling,ENTRATO con appaiamento pulito e materiale identico sui due bracci (`Macrophages treated with ruxolitinib` → `Macrophages treated with vehicle`).
GSE131320,A,altro,"Era in questo gruppo con ""IL-1B 24h"" e ""IL-1B 6h"" contro ""Control"", confronti senza difetti leggibili, e ora non e' poolato in nessuna meta-analisi: il nuovo perde materiale che il vecchio usava correttamente."
GSE131525,B,lo studio entra o esce dal pooling,ENTRATO con un confronto appaiato sul tipo cellulare ('Monocytes SLE SLE1' vs 'Monocytes Healthy Control HC2'); il riferimento non lo poolava in nessuna meta-analisi.
GSE131526,C,altro,"Il nuovo aggiunge «Type 1 Diabetes donor 3» contro lo stesso «Healthy Control donor 2» gia' usato nel riferimento: entrambe le assegnazioni sono caso-controllo legittime, il nuovo raddoppia il peso del controllo."
GSE131605,C,solo la formulazione dell etichetta cambia,Sola riformulazione: 'Zika virus infection (Donor 2016_19)' vs 'Mock infection' diventa 'zika_virus_infection_2016_19' vs 'mock_infection'.
