cluster_id,verdetto_lettore,verdetto_finale,contestato,gse_accusati,motivo
cgroup_L5_905be893,incoerente,incoerente,False,GSE134896;GSE162691,"Confermato sulle etichette: in GSE134896 i due confronti 'IL-1beta + P4' vs 'vehicle' (n=1v3, n=2v3) portano un secondo agente (progesterone) assente dal controllo, mentre il terzo confronto dello stesso studio (IL-1beta vs vehicle) e tutti gli altri 17 studi sono IL-1b vs vehicle/untreated puliti, appaiati per tipo cellulare. Nota debole non decisiva: in GSE162691 due confronti appaiano 'Microtissue AD IL-1Beta Treated' a un controllo etichettato 'Unclear Context AD Control' - l'etichetta segnala ambiguita di materiale ma non basta a confermare un'intrusione certa (dubbio, non aggiunto al verdetto)."
cgroup_L5_021e875e,incoerente,incoerente,True,GSE161800;GSE173201;GSE206649,"Il motivo del revisore regge: in GSE161800 quattro dei cinque confronti appaiano trattati 'proliferative'/'pre-sorted'/'proliferating cells' allo stesso controllo 'Untreated arrested cells' (stato del ciclo non corrispondente). Ma manca una seconda intrusione dello stesso tipo (materiale/linea non appaiata) in GSE206649: 'A2780/CDDP treated with cisplatin' (la sigla /CDDP indica la sublinea resistente al cisplatino, la stessa nomenclatura di A2780cis usata correttamente altrove nel gruppo, es. GSE173201) e' appaiata a 'A2780 untreated', cioe' la linea PARENTALE non trattata: confonde l'effetto acuto del farmaco con la selezione di resistenza. Resto del gruppo pulito. Verdetto invariato, motivo esteso a un secondo studio intruso."
cgroup_L5_b6b8bc00,incoerente,incoerente,False,GSE133567;GSE145316;GSE184156;GSE206257;GSE234514,"Confermato: in GSE133567 tutti e 5 i confronti trattano linee col suffisso 'AR991' (sublinee a resistenza acquisita) contro controlli senza quel suffisso (A375/CHL1 no treatment); in GSE234514 'MCF-7 PR Palbociclib' (PR verosimilmente resistant) e' appaiato a 'MCF-7 WT Vehicle', linea genotipicamente diversa. Il resto del gruppo (inclusi i pair correttamente appaiati per genotipo: RB KO in GSE145316, CCND1-rearranged in GSE206257, ESR1Y537S in GSE184156) e' pulito. Nessun'altra intrusione trovata."
cgroup_L5_8a54ddd6,coerente,coerente,False,GSE145141;GSE157069;GSE196724;GSE197243;GSE216137;GSE217898,"Verificato etichetta per etichetta su tutti i 27 confronti del gruppo: ogni volta che il trattato porta una modifica genetica o un transgene (ZMYND8/GFP overexpression in GSE145141, TRPM2 knockout in GSE197243, transgene stable in GSE157069), il controllo la porta identica; i confronti per donatore/tessuto/tempo (GSE196724, GSE217898, GSE216137) sono appaiati correttamente per tempo e tessuto. Nessuna combinazione non catturata, nessun materiale incompatibile, nessuna linea/passaggio spaiato. Coerente confermato."
cgroup_L5_a32e5eaa,incoerente,incoerente,False,GSE175867;GSE216988,"Confermato: in GSE175867 il confronto 'DAC 1uM + DEX' vs 'DMSO' porta un secondo agente (desametasone) assente dal controllo; gli altri due confronti dello stesso studio e il resto del gruppo (inclusi i pair geneticamente appaiati: SETD2 KO/WT, ADAR1 KD/OE, sempre con controllo della stessa linea/genotipo) sono puliti. Nota debole non decisiva: in GSE216988 lo stesso trattato 'Decitabine Recovery' e' appaiato sia a 'Control Early' sia a 'Control Late' - possibile disallineamento temporale, ma le etichette non specificano abbastanza per confermarlo (dubbio, non aggiunto al verdetto)."
cgroup_L5_aecd610f,incoerente,incoerente,False,GSE138082;GSE182875,"Confermato: GSE182875 usa neuroni corticali e progenitori neurali derivati da iPSC (linee NSC nominate) contro un'altra linea iPSC di controllo - modello sperimentale in vitro - mentre tutti gli altri 13 studi del gruppo (inclusi GSE138082, non elencato esplicitamente dal revisore ma anch'esso tessuto ippocampale postmortem CA1/CA3) usano tessuto cerebrale postmortem di pazienti/controlli reali. Schema clinico-contro-sperimentale confermato sulle etichette. La nota sulla dominanza (Kish 4.1/14, un solo studio 41%) e' corretta e indipendente dalla coerenza."
cgroup_L5_6df6a50e,coerente,coerente,False,,"Verificato etichetta per etichetta su tutti i 33 confronti: ogni trattato sorafenib e' appaiato al proprio controllo DMSO/PBS/vehicle/untreated nella stessa linea cellulare, PDX (LuCaP per numero) o modello donatore/cardiomiocita specifico (MSN, HF2597). Nessuna combinazione non catturata, nessuna linea/genotipo spaiato. Coerente confermato; la nota sulla concentrazione (Kish 4.3/13, 33% su un solo studio) e' un asse di dominanza indipendente, corretta."
cgroup_L5_eb5e1e65,incoerente,incoerente,True,GSE221103;GSE237803;GSE99626,"Il motivo del revisore regge: in GSE221103 il trattato 'SKNAS cells treated with 4OHT and dexamethasone (vehicle)' porta un secondo agente (4-idrossitamoxifene) assente dal controllo 'ethanol (vehicle)'; la posizione di '(vehicle)' subito dopo 'dexamethasone' suggerisce anzi che qui il desametasone possa fungere da veicolo del 4OHT piuttosto che essere il perturbogeno studiato, il che rafforza il caso. Manca pero' una seconda intrusione con lo stesso meccanismo in GSE99626: 'T47D cells treated with E2 and Dexamethasone' vs 'T47D cells treated with Vehicle' - l'estradiolo (E2) e' un secondo agente presente nel trattato e assente dal controllo. Resto del gruppo (inclusi i pair geneticamente appaiati AR KO/DAXX KO in GSE237803) pulito. Verdetto invariato, motivo esteso a due studi intrusi."
cgroup_L5_0e66597e,incoerente,incoerente,True,GSE147283;GSE184156;GSE214052;GSE231397;GSE266932,"Il motivo del revisore regge: in GSE214052 tre dei cinque confronti trattano 'MCF7 RELA KO2 + Fulvestrant' ma il controllo dichiarato e' 'MCF7 RELA KO1 DMSO 6h' (clone knockout diverso); gli altri due confronti dello stesso studio (parentale e KO1 appaiati correttamente) sono puliti. Manca pero' una seconda intrusione, di meccanismo diverso, in GSE231397: 'Fulvestrant + E2' vs 'DMSO' - l'estradiolo e' un secondo agente presente nel trattato e assente dal controllo (il secondo confronto dello stesso studio, Fulvestrant puro vs DMSO, e' pulito). Resto del gruppo (inclusi i pair geneticamente appaiati shARD in GSE147283, ESR1Y537S in GSE184156/GSE266932) pulito. Verdetto invariato, motivo esteso a due studi intrusi con meccanismi diversi (9 e 7)."
cgroup_L5_be15b706,incoerente,incoerente,False,GSE159196;GSE162696;GSE79027,"Confermato: in GSE159196 il confronto 'IL13 (Tracheal airway epithelium)' e' appaiato a 'Control (Nasal airway epithelium)' - tessuto anatomicamente diverso (trachea vs naso) - mentre lo stesso studio ha anche una coppia nasale-vs-nasale corretta. Resto del gruppo (20 confronti su 21, inclusi i pair per donatore in GSE79027 e per genotipo in GSE162696) pulito. Peso minimo, verdetto confermato."
cgroup_L5_721184e6,incoerente,incoerente,False,GSE125245,"Confermato sulle etichette: GSE125245 riga 29-31 e' esattamente 'LNCaP cells with AR stimulation in presence of THZ1' (n=1) vs 'LNCaP cells treated with DMSO' — il trattato porta un secondo fattore (stimolazione AR) assente dal controllo. Lo stesso GSE ha la coppia pulita 'LNCaP treated with THZ1' vs 'LNCaP treated with DMSO' (righe 32-34) che dimostra che l'AR-stimolazione e' un braccio separato, non parte del contrasto THZ1. Peso dell'intruso confermato basso (1 confronto su 26). Il resto del gruppo (COV362, KURAMOCHI, BCPAP, CAL-62, DU145, VCaP, TSC1+/-, pancreatico, MM047/074, MDA-MB, Y79, A375/A549/H3122/N87/PC9/RT112) e' tutto THZ1 vs DMSO/vehicle pulito e appaiato."
cgroup_L5_1d96b9da,incoerente,incoerente,False,GSE180881,"Confermato: GSE180881 righe 139-141 e' 'HUVEC, Poly(I:C), 24h' (n=4) vs 'HUVEC, Media, T0h' (n=1) — controllo a tempo zero (baseline) invece che a 24h. Lo stesso GSE ha 'HUVEC, Poly(I:C), 4h' vs 'HUVEC, Media, 4h' (righe 142-144) correttamente appaiato per tempo, e anche i due confronti su 'Fetal endothelial progenitor' (24h vs 24h, 4h vs 4h) sono ben appaiati — quindi il controllo a tempo giusto esisteva ed e' stato usato altrove nello stesso studio. E' un disegno di trattamento (non di malattia), quindi il mismatch temporale e' un vero difetto (mecc. 9), peso basso (1 riga su 21)."
cgroup_L5_3a0a595f,incoerente,incoerente,False,GSE151159,"Confermato: GSE151159 (righe 192-203) ha 4 confronti totali, di cui i primi 2 sono correttamente donor-matched ('Dasatinib-treated Donor E' vs 'Untreated Donor E'; 'Donor A' vs 'Donor A') e gli ultimi 2 no ('Dasatinib-treated Donor 50' vs 'Untreated Donor E'; 'Donor 32' vs 'Untreated Donor B') — il fatto che lo stesso studio tracci il donatore e lo appai correttamente altrove rende il mismatch un vero difetto, non un'ambiguita' di etichetta. Disegno di trattamento (non caso-controllo di malattia): il donatore diverso e' un difetto reale (mecc. 9). Peso basso (2 righe n=1 su 34 confronti totali, verificato)."
cgroup_L5_49d55bfd,incoerente,incoerente,False,GSE222284,"Confermato: GSE222284 righe 320-325 sono esattamente 'Z-DON(Z006) + IL-4' (x2) vs 'PBS + DMSO' — il trattato porta un secondo agente (l'inibitore Z-DON) assente dal controllo. Lo stesso GSE ha la coppia pulita 'IL-4 + DMSO' vs 'PBS + DMSO' (righe 317-319) che isola correttamente l'effetto di IL-4 da solo e dimostra che Z-DON e' un braccio a se'. Mecc. 7 confermato, 2 confronti intrusi su 3 nello stesso GSE, peso comunque limitato sul totale del gruppo."
cgroup_L5_601ede7b,incoerente,incoerente,False,GSE211854;GSE253742,"Confermato: GSE211854 righe 394-399 sono 'NSCLC_cIGF1R_Osimertinib_500nM_8days' vs 'NSCLC_DMSO+EV_8days' — il trattato ha sia il background cIGF1R (IGF1R costitutivamente attivo) sia osimertinib, il controllo ha vettore vuoto (EV) senza cIGF1R: due variabili cambiano insieme, non isola l'effetto del farmaco (mecc. 7). Nota dubbio del revisore su GSE253742 (materiale non specificato) verificata e corretta: riga 433-435 conferma l'etichetta e' davvero generica ('Osimertinib-treated lung adenocarcinoma' vs 'Untreated lung adenocarcinoma', nessun tipo cellulare o tessuto specificato) — dubbio legittimo, non decisivo da solo. Il resto del gruppo (PC9, HCC827, AsPC-1, HCC1143, HF2597, KRJ1, LNCaP, NCI-H1793, PANC-1, U87, LX1042/831b PDX, YU PDX, PDX EGFR, organoidi) e' pulito."
cgroup_L5_85083e38,incoerente,incoerente,False,GSE106608;GSE181029;GSE90469,"Confermato sulle etichette: GSE181029 (righe 498-536, il piu' pesante col 73% e Kish 1.8/10) e' interamente 'Neural progenitors'/'Neurons presumably dopaminergic' da portatori di mutazioni PARK2 vs controlli sani — sono neuroni/progenitori derivati da iPSC differenziati in vitro, non tessuto di paziente. GSE90469 (righe 549-551) e' 'Patient-Derived Dopamine Neurons' vs 'Untreated Healthy Dopamine Neurons' — anch'esso materiale differenziato in vitro nonostante il nome 'patient-derived'. Il resto del gruppo (GSE106608, 128177, 133101, 140089, 161199, 168496, 206308, 208347) e' invece tessuto cerebrale post-mortem/clinico. Mescolare pazienti clinici con modelli sperimentali iPSC e' mecc. 1, e qui l'intruso domina il peso del pool. Coerente con quanto gia' documentato nella storia del progetto per questo stesso cluster."
cgroup_L5_a12414d4,coerente,coerente,False,GSE217421,"Verificato riga per riga, tutti i 17 confronti: estradiolo vs vehicle/DMSO/ethanol/control entro la stessa linea o tipo cellulare (SW620, MCF7/TAMR/UCD12, VCaP, C42/LNCaP/RV1, cardiomiociti), nessun secondo agente aggiunto solo sul trattato, nessuna malattia clinica mescolata a materiale sperimentale (tutto cell line/cardiomiociti, nessun tessuto di paziente). Il controllo 'VCaP + Ethanol' e' un veicolo appropriato per estradiolo (solvente standard per steroidi), non un intruso. Il pattern GSE217421 (controllo pool multi-donatore 'DMSO-treated cardiac myocytes' n=9 accanto a un controllo donor-matched MSN01) e' lo stesso disegno gia' verificato identico in dasatinib e vemurafenib in questo stesso corpus: struttura reale dello studio sorgente, non un errore isolato di questo gruppo. Nessuna prova di incoerenza trovata."
cgroup_L5_a25d0964,coerente,coerente,False,GSE126003;GSE143443;GSE149262;GSE179347;GSE189997;GSE202045;GSE215039,"Verificato riga per riga, tutti i 27 confronti: in ogni caso il background genetico/malattia/sottotipo cellulare e' tenuto costante fra i due bracci (STAT3-/- su entrambi in GSE126003, RA/OA su entrambi in GSE143443/GSE215039, sottotipi CD4/CD8 Naive/Memory appaiati in GSE189997, tempi appaiati dove specificati in GSE149262/GSE202045). Nessuna combinazione non catturata, nessun controllo improprio (le etichette 'EMPTY EMEM MEDIUM' in GSE179347 sono coerenti come veicolo su tutte e tre le linee usate nello stesso studio). L'eterogeneita' di tessuto FRA studi diversi (MCF7, sinoviociti RA, DLD-1, HepG2, epatociti primari, T cell) e' normale per una meta-analisi su un contrasto uniforme (stimolazione IL-6), non un difetto di appaiamento entro-studio. Nessuna prova di incoerenza trovata."
cgroup_L5_c3ae78cd,incoerente,incoerente,False,GSE139179;GSE261086,"Sostanza confermata, con una correzione numerica minore: GSE139179 ha 20 confronti totali (non 21, verificato per conteggio esatto), di cui 18 (non 19) confrontano segmenti anatomici diversi (retto, colon discendente, colon ascendente) contro un unico controllo fisso 'Healthy, sigmoid colon', e solo 2/20 sono davvero sigmoid-vs-sigmoid ('sigmoid colon, T106' e 'sigmoid colon, T26'). La percentuale di mismatch resta pero' quasi identica a quella citata (90% vs 90.5%) e la conclusione sostanziale regge: il mismatch anatomico sistematico e' reale e pesa 18 confronti su 42 del gruppo (43%, 'quasi meta'' confermato). Anche il dubbio secondario su GSE261086 e' verificato: lo studio usa davvero due etichette distinte ('Crohn's disease colon mucosa/wall' vs 'Inflamed colon mucosa/wall') contro lo stesso controllo 'Normal colon', il che rende legittimo il sospetto che 'Inflamed' non sia necessariamente Crohn. Non contestato nel verdetto (solo un aggiustamento del conteggio citato, l'accusa di fondo e il colpevole indicato sono corretti)."
cgroup_L5_03b38818,coerente,coerente,False,GSE217421;GSE217423;GSE64741,"Verificato riga per riga, tutti i confronti: ogni coppia trattato/controllo e' materialmente appaiata al proprio interno (linea con linea, PDX con PDX, xenograft con xenograft), nessun secondo agente aggiunto solo al trattato, nessun controllo improprio. Il pattern GSE217421/GSE217423 (pool condiviso multi-donatore) e' coerente col disegno gia' visto in dasatinib ed estradiolo. Unica anomalia trovata: in GSE64741 'A375R cells treated with 75 mg/kg vemurafenib for 10 doses' usa un dosaggio tipicamente in vivo (mg/kg, dosi) identico a quello delle righe esplicitamente etichettate 'A375 cells xenograft ... 75 mg/kg ... 10 doses' nello stesso GSE, ma senza la parola 'xenograft' — probabile inconsistenza di etichettatura per lo stesso materiale (xenograft del clone resistente), non un mismatch fra trattato e controllo entro il confronto (entrambi i bracci dicono 'A375R cells' in modo consistente). Non sufficiente a ribaltare il verdetto: nessuna prova di un vero mismatch treated/control o di un secondo fattore non catturato."
cgroup_L5_444e7fc2,incoerente,incoerente,False,GSE120891;GSE130665;GSE141236;GSE159235;GSE179609;GSE203395;GSE210989;GSE248927;GSE94724,"Confermato su entrambe le citazioni. GSE203395: le etichette 'D-7, 7 days' + 'BCG vaccinated' + 'M.tb-uninfected' (compaiono su 6 dei 19 confronti del gruppo) sono inequivocabilmente da un trial di vaccinazione BCG con stratificazione per sierostato CMV (esposizione naturale/cronica), non infezione sperimentale in vitro come nel resto del gruppo. GSE141236 appaia letteralmente 'Monocytes exposed to HCMV' (monociti primari) contro 'Uninfected THP-1 cells' (linea leucemica immortalizzata): materiale di controllo diverso dal trattato. Le rimanenti 7 fonti (GSE120891, GSE130665, GSE159235, GSE179609, GSE210989, GSE248927, GSE94724) sono infezione sperimentale mock-vs-CMV coerente."
cgroup_L5_4b901bf1,incoerente,incoerente,False,GSE108743;GSE139341;GSE81106,"Confermato. GSE108743 e GSE81106 etichettano esplicitamente 'Mesenchymal stem cells'/'MSC ... Passage 5' — cellule espanse in coltura, non tessuto — mentre gli altri 6 studi dicono esplicitamente 'Skin'/'Lesional Skin'/'Skin control'. GSE139341 (Teff/Treg sorted) e' l'unico studio del gruppo privo del qualifier 'Skin' presente in tutti gli altri, coerente con l'ipotesi di materiale ematico. Incompatibilita' di materiale reale."
cgroup_L5_535d97f6,coerente,coerente,False,GSE155800;GSE184427;GSE186341,"Confermato dopo verifica riga per riga di tutte le 27 righe: imatinib vs DMSO/PBS/vehicle/untreated in linee cellulari, PDX, CD34+ LSC, cardiomiociti, stesso verso, materiale appaiato per riga. Trovati due punti deboli NON citati dal revisore ma insufficienti a ribaltare: GSE155800 ('GIST treated with Imatinib' vs 'GIST' senza qualifier, possibile coorte clinica ma stesso materiale tumorale, peso n=2v4 minimo); e in GSE184427 la riga 'LuCaP 81 + Imatinib (Castrated)' condivide la STESSA etichetta di controllo 'LuCaP 81 PBS Control' della riga 'LuCaP 81 + Imatinib' non castrata (possibile confondimento castrazione), ma e' una singola riga n=1vs2 su 27, con GSE186341 pulito che pesa il 68%. Non abbastanza per ribaltare il verdetto."
cgroup_L5_702a5dea,coerente,coerente,False,,"Confermato. Tutte le ~46 righe sono trametinib vs DMSO in linee cellulari (SUM-229PE, Mel202, KP4, MiaPaca2, MeWo, ASPC1, PANC1), PDX (PDX4, UM004) e cardiomiociti: nessuna combinazione con secondo agente, nessun campione clinico, nessuna direzione opposta, nessun materiale incompatibile trovato nelle etichette."
cgroup_L5_7934174c,coerente,coerente,False,GSE236896,"Confermato. Tutte le 17 righe sono EPZ-6438/tazemetostat (stesso composto, due nomi) vs DMSO/vehicle in linee cellulari, fibroblasti dermici e linee PDX-derivate (WCM), con passage/tempo appaiati dove specificato (es. GSE236896 6 giorni/5-6 passaggi vs 6 giorni/5-6 passaggi). Nessuna intrusione trovata."
cgroup_L5_b32ab7f6,coerente,coerente,False,GSE119047;GSE198683,"Confermato. Le 15 righe sono stimolazione con IL-17A ricombinante vs PBS/vehicle/control in vari tipi cellulari (PBMC CD4, condrociti, fibroblasti sinoviali, cellule epiteliali bronchiali, organoidi colici), passage/donatore appaiati dove specificato. Notate due ambiguita' minori (GSE119047 'IL17A TGFlo' come possibile co-condizione; GSE198683 non ripete il donor ID nel controllo) ma nessuna delle due e' verificabile come violazione dalle sole etichette mostrate: non ribalto un verdetto su una speculazione."
cgroup_L5_bd19fe42,incoerente,incoerente,False,GSE120663;GSE144269;GSE159220;GSE164359;GSE216613;GSE256235;GSE263134;GSE73708;GSE77509,"Confermato. GSE120663 e' l'unico studio del gruppo (su 9) etichettato 'HCC PBMC' vs 'Healthy Control PBMC': sangue periferico, non tessuto epatico. Tutti gli altri 8 studi (19 righe) confrontano esplicitamente tessuto tumorale vs tessuto epatico adiacente/normale/sano (GSE144269, GSE159220, GSE164359, GSE216613, GSE256235, GSE263134, GSE73708, GSE77509). Incompatibilita' di materiale reale e ben isolata."
