"cluster_id","verdetto_lettore","verdetto_finale","contestato","gse_accusati","motivo","peso_citati","n_studi","contrast_entity_label","k_effective","k_kish","n_sig","coherence_verdict"
"cgroup_L5_12212e41","incoerente","incoerente","True","GSE138614;GSE168527;GSE173789;GSE180760","Verdetto confermato ma MOTIVAZIONE CORRETTA: il revisore cita dettagli ('snRNA-seq di oligodendrociti/sostanza bianca cerebrale') non letteralmente presenti nelle etichette mostrate in questo file (che dicono solo 'MS1'..'MS9', 'MS3_NAWM', 'C1_Control'). L'evidenza che REGGE sul testo e' diversa ma altrettanto solida: il termine 'NAWM' (Normal Appearing White Matter) nell'etichetta 'MS3_NAWM' di GSE138614 e' terminologia neuropatologica SNC inequivocabile, e le tre fonti indicate dal revisore sono esplicitamente sottopopolazioni immunitarie circolanti ('KIR- CD8 T', 'CD19+ B cells from ... patients', 'Monocyte derived dendritic cells' — GSE168527, GSE173789, GSE180760). Il gruppo resta incoerente per incompatibilita' di materiale (tessuto SNC vs cellule immunitarie circolanti), ma sulla base delle etichette effettivamente citabili, non del dettaglio tecnico extra-testuale del revisore.",0.362180255199898,8,"multiple sclerosis",8,1.79967914204758,606,"coherent"
"cgroup_L5_12228932","coerente","coerente","False","GSE106716;GSE152409;GSE247637","Confermato: EGF vs PBS/controllo/starvation in ogni braccio, con background genetico (SYK-KO/WT in GSE106716) e siRNA (NTC-siRNA in GSE247637) tenuti costanti fra trattato e controllo, e tempo appaiato (24h/24h, 48h/48h in GSE152409). Nessuna combinazione non catturata o controllo spaiato trovato leggendo tutte le 13 righe.",0.662174194129051,5,"EGF",5,3.88939576435427,1161,"coherent"
"cgroup_L5_16525349","coerente","coerente","False","","Confermato. Ogni confronto e' ponatinib vs veicolo appaiato per linea/modello (AsPC-1, EFO-21, HF2597, HSTS, NCI-H1793, PANC-1, U87_MG, MSN01/MSN05, LM2). I due bracci UNTREATED (LNCaP, U87_MG) invece di DMSO restano un controllo comparabile, coerente col precedente gia' accettato in questo stesso gruppo. Nessuna intrusione trovata oltre a quella gia' notata.",0,4,"ponatinib",4,2.1208919655281,433,"coherent"
"cgroup_L5_17b35bdc","coerente","dubbio","True","GSE162285;GSE202682","Il revisore ha notato solo 'MSK-PCa3 docetaxel vs MSK-PCa3 vehicle (time zero)' come nota minore, ma il problema e' piu' esteso: nello stesso GSE162285 tre bracci trattati sono etichettati 'docetaxel-persister' (MSK-PCa1, MSK-PCa7, PM154) contro un controllo 'vehicle (negative control)' — per definizione le cellule 'persister' sono la popolazione sopravvissuta a un ciclo di trattamento gia' avvenuto (fenotipo adattato/selezionato), non l'effetto acuto del farmaco misurato nel resto del gruppo (HCI002/003/011, MDAMB231, la serie LuCaP, GSE202682, DU145). Sommato al caso 'time zero' gia' notato, sono 4 confronti su 16 (Kish gia' basso, 2.0) che misurano una fase temporale/uno stato diversi dello stesso farmaco, non lo stesso contrasto acuto-vs-veicolo. Non abbastanza per 'incoerente' secco (entita', verso e la maggioranza dei controlli restano corretti), ma troppo per un 'coerente' netto senza riserve.",0.424557380585279,4,"docetaxel",4,2.03785021629203,1465,"coherent"
"cgroup_L5_17b55386","coerente","dubbio","True","GSE102812;GSE115650;GSE123468;GSE254310","La componente caso-controllo (soggetti diversi fra i bracci) e' correttamente giudicata non un difetto. Ma il revisore non ha guardato l'asse MATERIALE: il gruppo mescola biopsie muscolari primarie (GSE102812, GSE115650, GSE123468 Patient 1-7) con miotubi differenziati in coltura (GSE254310, 'AB1080 myotubes FSHD' vs 'AB1190') e con un confronto 'Transgenic FSHD Patient T7 vs Transgenic Control T3' (GSE123468) che usa una linea ingegnerizzata/immortalizzata diversa dalle biopsie dirette elencate nello stesso GSE. Biopsia (tessuto eterogeneo con stroma, immune, grasso) e coltura di miotubi/linea transgenica non sono lo stesso materiale (meccanismo 6). Peso modesto (2-3 confronti su ~19): non basta per ribaltare a incoerente, ma il verdetto 'coerente' netto ignora un'eterogeneita' reale e dichiarata nelle etichette.",1,4,"fshd",4,2.58207129920044,1078,"coherent"
"cgroup_L5_1bbf4b9b","incoerente","incoerente","False","GSE121445;GSE142000;GSE172032;GSE174237;GSE184336;GSE46597","Confermato. GSE46597 'Gastric cancer stem cell' vs 'Differentiated cell' non e' dichiarato come tessuto normale/sano: nella letteratura sulle cellule staminali tumorali 'differentiated cell' indica la controparte differenziata DENTRO la stessa popolazione neoplastica, non un controllo sano (mecc. 5). Gli altri 5 studi (GSE121445, GSE142000, GSE172032, GSE174237, GSE184336) sono tutti tumore-vs-tessuto-adiacente-normale/matched, disegno caso-controllo pulito e verificabile dalle etichette.",1,6,"Stomach Neoplasms",6,2.84221249960426,177,"coherent"
"cgroup_L5_1d96b9da","incoerente","incoerente","False","GSE180881","Confermato: GSE180881 righe 139-141 e' 'HUVEC, Poly(I:C), 24h' (n=4) vs 'HUVEC, Media, T0h' (n=1) — controllo a tempo zero (baseline) invece che a 24h. Lo stesso GSE ha 'HUVEC, Poly(I:C), 4h' vs 'HUVEC, Media, 4h' (righe 142-144) correttamente appaiato per tempo, e anche i due confronti su 'Fetal endothelial progenitor' (24h vs 24h, 4h vs 4h) sono ben appaiati — quindi il controllo a tempo giusto esisteva ed e' stato usato altrove nello stesso studio. E' un disegno di trattamento (non di malattia), quindi il mismatch temporale e' un vero difetto (mecc. 9), peso basso (1 riga su 21).",0.0163005106239622,10,"poly(I:C)",10,2.11795209521677,268,"coherent"
"cgroup_L5_1e8a735e","coerente","coerente","False","","HEK293T + due studi con dose-response (0.3/0.6 uM) tutti thapsigargin-vs-DMSO/vehicle. Nessuna etichetta indica materiale diverso da coltura cellulare. Nessun mismatch trovato.",0,3,"thapsigargin",3,2.42054217712483,2676,"coherent"
"cgroup_L5_2248a891","coerente","incoerente","True","GSE202436;GSE231591","Il revisore ha verificato solo l'APPAIAMENTO interno (tempo/lato in GSE202436, genotipo in GSE231591) ma non ha confrontato la CATEGORIA DI MATERIALE fra gli studi. GSE231591 dichiara esplicitamente 'PKHD1 mutant kidney organoids' (organoide renale) mentre GSE202436 dichiara 'Left Lung'/'Right Lung' a piu' timepoint (tessuto polmonare, verosimilmente fette/espianto ex vivo, non linea cellulare ne' organoide). E' un caso diretto di mechanismo 6 (tessuto contro organoide), aggravato dal fatto che sono anche due ORGANI diversi (polmone vs rene): la risposta trascrizionale a forskolin non e' lo stesso contrasto in un tessuto polmonare intero e in un organoide renale 3D. GSE202436 domina il peso (8 righe su 11, verosimilmente il 'piu pesante 85%'), ma anche uno studio intruso minoritario basta per marcare il gruppo incoerente. Studio intruso: GSE231591 (organoide renale, materiale/organo incompatibile con GSE202436 tessuto polmonare).",0.796384197089387,3,"forskolin",3,1.36330336499188,610,"coherent"
"cgroup_L5_24ae0579","coerente","coerente","False","GSE216137;GSE217421;GSE217423","Verificati tutti e 12 i confronti: epirubicin vs DMSO/vehicle in tutti, stesso verso. GSE216137 e' un dose-response (1-100nM) contro lo stesso pool di controllo, non un difetto. GSE217421/GSE217423 sono cardiomiociti epirubicin vs DMSO; le linee MSN01/MSN05 nel trattato non hanno un controllo esplicitamente diverso nell'etichetta (il controllo resta genericamente 'DMSO-treated cardiac myocytes'), quindi non c'e' prova testuale di donatore/linea mismatch. Nessuna combo, nessuna entita'-ombrello. Verdetto confermato.",1,3,"4'-epidoxorubicin",3,1.37373664577723,3040,"coherent"
"cgroup_L5_28bee975","coerente","coerente","False","","Tutti e 6 i confronti hanno controllo DMSO appaiato esattamente per linea (BRD4-NUTM1_DMSO<->BRD4-NUTM1_ABBV075_6h/96h, PER403_DMSO<->PER403_ABBV075_6h/96h, HepG2+DMSO<->HepG2+ABBV-075, NCI-H1299 DMSO<->NCI-H1299 ABBV-075). Nessun secondo agente, nessuna direzione opposta. Verdetto confermato.",0,3,"MIVEBRESIB",3,2.64200419541602,3706,"coherent"
"cgroup_L5_2987cdb6","coerente","dubbio","True","GSE114686;GSE249721","Il revisore aveva gia' notato l'asimmetria di durata in GSE249721 ma l'ha liquidata come 'convenzione di etichettatura'. Guardando le 15 righe di quello studio (43% del gruppo): il controllo NON riporta MAI la durata ('H3255 + DMSO', 'HCC4006 + DMSO', 'PC9 + DMSO'), mentre il trattato la riporta sempre e copre un intervallo enorme — 24h, 7 giorni, 21 giorni, 75 giorni nello stesso studio con la stessa etichetta di controllo riusata. Il conteggio n del controllo e' sospettosamente identico attraverso trattati di durata molto diversa (PC9: n=2 ripetuto su tutti e 8 i bracci da 24h a 75 giorni; HCC4006: n=3 ripetuto su tutti e 4 i bracci da 24h a 21 giorni) — pattern compatibile con un unico pool di controllo riferimento (es. 'giorno 0') usato sia per la risposta acuta al farmaco sia per lo stato di cellule persistenti/resistenti evolute dopo settimane, due biologie diverse sotto lo stesso contrasto. Il confronto con GSE114686 nello stesso gruppo, dove durata trattato e controllo SONO sempre appaiate esplicitamente (6h/24h/168h su entrambi i bracci), rende GSE249721 un'anomalia interna, non lo standard del gruppo. Non ho pero' le date di raccolta reali per provarlo con certezza (potrebbe essere un controllo 'vehicle' stabile riusato legittimamente, prassi nota negli studi di evoluzione della resistenza) — quindi non lo marco incoerente ma dichiaro il dubbio, che il revisore aveva individuato ma chiuso troppo in fretta.",0.169184191655996,7,"erlotinib",7,5.91532909086212,2479,"coherent"
"cgroup_L5_29cb04f8","incoerente","incoerente","False","GSE145356;GSE157300;GSE180146;GSE193865;GSE264144;GSE267150","Confermato. 'GSE145356: 5-FU/LV treated vs DMSO control' — 'LV' e' la sigla standard oncologica per leucovorin (acido folinico), sempre associato al 5-FU nei regimi FOLFOX/FOLFIRI; il controllo e' solo DMSO, quindi la combinazione non e' isolata (mecc. 7). Le altre 5 righe/studi (GSE157300, GSE180146, GSE193865, GSE264144, GSE267150) sono 5-FU-vs-DMSO/PBS/mock pulite, con background genetico appaiato dove presente (GSE267150 mantiene MDM2 W329G su entrambi i bracci).",1,6,"5-fluorouracil",6,3.86071335474139,1410,"coherent"
"cgroup_L5_2a225fda","dubbio","dubbio","False","GSE145505;GSE195599;GSE201955;GSE206510","Confermato. L'etichetta di GSE145505 e' letteralmente ambigua — 'Control Asthma' vs 'Control None', entrambi i bracci descritti come 'Control' — e non permette di stabilire con certezza se isoli lo stesso contrasto asma-vs-sano degli altri tre studi (GSE195599, GSE201955, GSE206510, tutti chiaramente pazienti-vs-sani appaiati). Ne' assolvere ne' condannare e' giustificato dal solo testo: il dubbio del revisore regge, con peso reale dato il gruppo piccolo (Kish 2.1, 5 confronti).",1,4,"asthma",4,2.08702399507103,77,"coherent"
"cgroup_L5_2ab433c8","dubbio","dubbio","False","GSE119047;GSE149262;GSE190634;GSE243230","Confermato. Riverificate tutte le altre 9 righe: tempo appaiato (GSE243230: 12h-vs-12h, 24h-vs-24h, ecc.), donatore appaiato (GSE190634: Donor 1 su entrambi i bracci), linea/background appaiato (GSE149262: DLD-1 KRAS WT su entrambi). Solo GSE119047 'IL22 TGFlo' vs 'PBS' resta irrisolvibile dalla sola etichetta (il modificatore TGFlo non e' specchiato nel controllo). Il revisore ha gia' pesato correttamente l'impatto (2 righe su 11) e dichiarato l'incertezza invece di forzare un verdetto: giudizio ben calibrato, nessuna correzione necessaria.",0.470362116753425,6,"IL22",6,3.23933946853316,1121,"coherent"
"cgroup_L5_2d53def6","incoerente","incoerente","False","GSE120904","Confermato verbatim: in GSE120904 le 3 etichette 'IL21 and CP' / 'IL21 and CP (alternative)' / 'IL21 and CP (alternative 2)' contro 'vehicle only' portano un secondo agente (CP) assente nel controllo — mecc.7 valido. Correzione minore non dirimente: GSE120904 ha 9 confronti nel file (contati riga per riga), non 11 come scritto nel motivo del revisore ('tre confronti su undici'); il rapporto reale e' 3 su 9 nello studio (3 su 32 nel gruppo intero). Non cambia il verdetto ne' la validita' dell'accusa, che regge sulle etichette esatte citate.",0.40775460796762,3,"IL21",3,1.96346802967647,181,"coherent"
"cgroup_L5_2e16719f","incoerente","incoerente","False","GSE139963;GSE161176;GSE210984;GSE240476;GSE97358","Confermato su ogni etichetta citata. GSE139963 riga 89-91: 'Hypoxia + TGF-β1' vs 'PBS (Vehicle Control)' senza braccio ipossia-da-sola (mecc.7), mentre lo stesso studio ha anche un confronto pulito TGF-β1 vs PBS. GSE240476: verificati tutti i 7 confronti dello studio — 3 sono 'TGFB+AR' vs 'Vehicle' (righe 335-337, 341-343, 347-349, secondo agente AR non isolato) e 2 sono 'Knee tissue, TGFB' vs 'Non-fibrotic tissue, Vehicle' (righe 350-355, sede anatomica diversa fra i bracci) = esattamente 5 confronti intrusi come detto. GSE210984 (righe 275-298): tutti gli 8 confronti appaiano 'Mesenchymal Stem Cells (iPSC-derived)' trattate con 'Primary Mesenchymal Stem Cells' di controllo — materiale diverso (iPSC-derivate vs primarie) su tutto lo studio. GSE161176 (righe 149-190): confermato, il controllo è sempre a passaggio fisso (Passage 6 per condrociti articolari, Passage 3 per cellule stromali midollari) mentre il trattato varia da passaggio 8 a 27 — non appaiati su tutto lo studio. GSE97358 riga 434-436: 'TGFB1-treated Cardiac Fibroblasts (Chinese)' vs 'Control Cardiac Fibroblasts (Malay)' — donatore/etnia diversa, mentre gli altri 4 confronti dello stesso studio appaiano correttamente Chinese-Chinese, Malay-Malay, Indian-Indian. Tutte le accuse reggono, i conteggi sono esatti.",0.0670146385868849,59,"TGFB1",59,54.4703775303285,7909,"coherent"
"cgroup_L5_2ec87595","incoerente","incoerente","False","GSE102677;GSE133087;GSE185624","Confermato riga per riga sulle tre fonti citate. GSE102677: la riga 'PBMC + Metformin + MtbLysate' vs 'PBMC + Unstimulated' ha un secondo agente (lisato di M. tuberculosis) assente dal controllo — nello stesso GSE esiste anche una riga 'Metformin' pulita, ma quella combo contamina l'entita'. GSE185624: 'XRT plus Metformin' vs 'Untreated Control' include radioterapia non presente nel controllo. GSE133087: verificate tutte le 5 righe, 2 hanno stadio di differenziamento disallineato tra bracci esattamente come citato dal revisore ('Pancreatic Beta-like cells, Metformin' vs 'Endocrine Progenitor, Untreated'; 'Pancreatic Progenitor, Metformin' vs 'pluripotent stem cells, Untreated'), le altre 3 righe dello stesso GSE sono invece appaiate correttamente per stadio — precisazione utile ma che non cambia la conclusione: il gruppo resta incoerente.",0.137681542704149,8,"metformin",8,3.1653609017801,334,"coherent"
"cgroup_L5_31308596","coerente","coerente","False","GSE138209","Verificate tutte e 6 le righe: PMA sempre contro veicolo comparabile (DMSO presente in entrambi i bracci in GSE138209, 'Control'/'Control medium' negli altri) sulla stessa linea per confronto (THP-1, HT1080). Nessuna etichetta rivela un secondo agente aggiunto solo nel trattato ne' un controllo improprio. Il revisore aveva ragione.",0.124246962937263,5,"PMA (phorbol 12-myristate 13-acetate)",5,1.95050018899075,989,"coherent"
"cgroup_L5_3370a794","coerente","coerente","False","GSE180180;GSE181586;GSE227839","Confermato. Gilteritinib vs vehicle/DMSO/no-treatment, appaiato per modello in ogni studio (xenograft GSE180180/180181, MOLM14 GSE181586, AML primaria GSE227839). Il controllo 'no treatment' invece di vehicle e' un divario minore gia' accettato altrove in questo corpus (vedi ponatinib LNCaP/U87_MG). Nessuna intrusione ulteriore trovata.",0.593372725293698,4,"gilteritinib",4,2.33908637366901,1094,"coherent"
"cgroup_L5_3439da02","incoerente","incoerente","False","GSE225751;GSE99875","Confermato sulle etichette: in GSE225751 i 4 confronti (CEM, Jurkat, TALL-4, TALL-6 + everolimus, quattro linee T-ALL diverse) sono tutti confrontati contro la STESSA etichetta generica 'T lymphocytes + control' anziche' contro la propria linea trattata col veicolo — non appaiati per linea (meccanismo 9/5). Trovata anche una prova aggiuntiva non citata dal revisore: in GSE99875 'Everolimus 4h differentiated' (n=1) e' confrontato contro lo STESSO pool 'Control' (n=6) gia' usato per il braccio non-differenziato 'Everolimus 4h' (n=4 vs 6) — nessun controllo dedicato differenziato, stesso difetto di appaiamento. Il motivo del revisore regge e si rafforza.",0.683336690784077,4,"everolimus",4,3.33184153780177,1335,"coherent"
"cgroup_L5_344e058f","incoerente","incoerente","False","GSE213245","Contate a mano le 10 righe di GSE213245: esattamente 3 hanno trattato 'BMP4 day 90-120' contro controllo 'Control day 61-91' (finestre temporali disallineate, mecc.9 nel disegno di trattamento). Le altre 7 di GSE213245 sono correttamente appaiate (day 61-91 vs day 61-91), cosi' come HPASMC e GBM2. Conteggio e motivo del revisore esatti. Verdetto confermato.",0.162312462084549,3,"BMP4",3,1.88844349503695,2668,"coherent"
"cgroup_L5_356eedd3","coerente","coerente","False","","Tutti e 4 i confronti sono TSA vs Control/DMSO nello stesso materiale per studio (fibroblasti dermici, isolotti pancreatici ex vivo, LNCaP). Nessuna combo, nessun controllo improprio, nessuna entita'-classe. Verdetto confermato.",0,3,"trichostatin A",3,2.88805126205752,3789,"coherent"
"cgroup_L5_35d1be10","incoerente","incoerente","False","GSE111009","Confermato sulle etichette: in GSE111009 i due confronti 'MCF10A_p63shRNA_Nutlin3A_5uM' (e la replica '_rep') hanno controllo 'MCF10A_DMSO' senza il tag p63shRNA, mentre lo stesso studio mostra che quando la genetica va appaiata correttamente lo fa (il paio p53shRNA a riga 20-22 ha controllo 'MCF10A_p53shRNA_DMSO' con lo shRNA presente su entrambi i bracci) — la differenza fra i due trattamenti dimostra che l'omissione sul braccio p63shRNA non e' casuale ma un vero difetto di appaiamento (il delta include perdita di p63, non solo Nutlin-3a). Nota numerica: il gruppo ha 28 confronti totali (non 26 come scritto), quindi i 'puliti' sono 26 non 24 — correzione aritmetica minore che non cambia il verdetto.",0.0441446230708379,8,"nutlin 3a",8,6.8866565887166,2342,"coherent"
"cgroup_L5_3668c2c2","incoerente","incoerente","False","GSE227737;GSE92852;GSE97744","Confermato verbatim: GSE92852 ha trattato 'IL-10-APC + IL-10 (Donor BC2)' contro controllo 'moDC (Undifferentiated, Donor BC2)' — mismatch di stato di differenziazione fra i due bracci, mecc.6 (materiali incompatibili). GSE227737 (IL-10 vs M0 macrophages) e GSE97744 (Circulating macrophage +IL-10 vs untreated) sono puliti e materiale appaiato. Verdetto confermato.",1,3,"INTERLEUKIN-10",3,2.193242160404,154,"incoherent"
"cgroup_L5_37942548","coerente","coerente","False","","Confermato. Il caso KO38 (controllo 'Engineered HeLa S3 cells (KO38)' senza equivalente esplicito nel trattato) resta un'unica imprecisione di etichetta su 23 confronti, non una prova di linea/genetica diversa. Verificati anche i casi MAML3-overexpressing SK-N-SH: ENTRAMBI i bracci (trattato e controllo) portano la stessa manipolazione genetica, quindi nessun mismatch. Nessun'altra intrusione trovata.",0,4,"all-trans-retinoic acid",4,2.45843996901004,762,"coherent"
"cgroup_L5_37ecd157","coerente","dubbio","True","GSE210522;GSE221860;GSE221861;GSE235462","Quattro dei cinque confronti usano un veicolo comparabile per una proteina ricombinante (Vehicle/PBS in GSE210522, GSE221860, GSE221861). Ma GSE235462 confronta 'VEGF donor 1' contro 'DMSO donor 1': DMSO e' il solvente convenzionale per piccole molecole, non il diluente tipico per una proteina come VEGF (di norma PBS/salina). Questo scarto nell'etichetta del controllo (n=5 vs 2, non trascurabile su un pool di soli 5 confronti totali, Kish 3.0) mette in dubbio se questo studio misuri davvero lo stesso contrasto proteina-vs-veicolo degli altri tre, o se l'entita'/il controllo siano stati assegnati in modo improprio. Non e' una prova definitiva di entita' sbagliata (l'etichetta non lo dice esplicitamente), quindi non basta per 'incoerente', ma troppo per liquidarlo come 'coerente' pulito.",1,4,"vegf",4,3.01199435129461,383,"coherent"
"cgroup_L5_3824dc37","coerente","coerente","False","GSE147304;GSE212741","Verificato riga per riga: tutte le 7 righe sono NASH-vs-sano/controllo su materiale epatico (esplicito in GSE147304 'Liver Tissue'/GSE212741 'Liver cells', implicito nelle altre dato che l'entita' stessa NASH e' definita come patologia epatica). Nessun reagente, nessuna combinazione, nessun controllo improprio rilevabile dal testo. Disegno caso-controllo di malattia legittimo.",0.235277422124288,6,"nash",6,4.11300595141911,906,"coherent"
"cgroup_L5_387b0d1a","coerente","coerente","False","","Disegno caso-controllo di malattia (T1D vs sano): soggetti diversi sono obbligatori per questo disegno, non un difetto. Nessuna etichetta rivela materiale incompatibile o entita' diversa fra i 3 confronti. Verdetto confermato.",0,3,"Diabetes Mellitus, Type 1",3,2.00324622956356,180,"coherent"
