"i","geo","primary","secondary","pair","srp_match","jaccard","contain_a_in_b","contain_b_in_a","days_apart","claude_choice","claude_conf","gpt_choice","gpt_conf","agreement","claude_reasoning","gpt_reasoning"
"12","GSM4543214","GSE150198","GSE150199","GSE150198|GSE150199","FALSE","0.742","1","0.742","0","A","0.9","A","0.93","TRUE","Series A fully contained in B (containment A->B=1.0), A is smaller and specifica","SRP does not match, so not a merge. Series A is fully contained within larger Se"
"13","GSM5376490","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.75","A","0.95","TRUE","Containment A->B=1.0 means all of A's samples are in B. A is smaller (2715 vs 27","Series A is fully contained within larger Series B and has the specific scRNAseq"
"14","GSM4542975","GSE150196","GSE150199","GSE150196|GSE150199","FALSE","0.033","1","0.033","0","A","0.95","A","0.95","TRUE","Series A is fully contained in Series B (containment A->B=1.0), making A the spe","All samples in smaller RNA-seq series A are contained within much larger series "
"15","GSM5377555","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.82","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","SRP does not match, so not merge. Series A is fully contained in larger Series B"
"16","GSM5377332","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.82","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","Series A is fully contained within B and is smaller, while B appears to be a bro"
"17","GSM5376769","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.82","A","0.95","TRUE","Containment A->B=1.0 means all A samples are in B, making A the smaller/specific","Series A is fully contained within larger Series B, indicating A is the more spe"
"18","GSM5375756","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","A is fully contained in B (containment A->B=1.0), making A the smaller/specific ","A is fully contained within B and is the smaller, more specific series; B appear"
"19","GSM4677423","GSE154688","GSE154691","GSE154688|GSE154691","FALSE","0.995","1","0.995","-1","A","0.85","A","0.93","TRUE","Series A contains all its samples in B (containment A->B=1.0), making A the smal","A is fully contained in B and is the smaller, specific RNA-Seq series with an SR"
"20","GSM5376170","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Containment A->B is 1.0, meaning all of A's samples are in B. A is smaller and s","Series A is fully contained within larger Series B, while B has additional sampl"
"21","GSM5375789","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A fully contained in B (containment A->B=1.0), making A the smaller/speci","A is fully contained within B and is the smaller, more specific scRNA-seq study;"
"22","GSM5375854","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.92","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","Series A is fully contained within larger Series B, indicating A is the more spe"
"23","GSM5376882","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.82","A","0.95","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","A is fully contained within B while B has additional samples, indicating B is a "
"24","GSM4912452","GSE161664","GSE161665","GSE161664|GSE161665","FALSE","0.698","1","0.698","0","A","0.9","A","0.93","TRUE","Containment A->B=1.0 means all A samples are in B. A is smaller (37 vs 53 sample","Series A’s 37 samples are fully contained within Series B, while B has additiona"
"25","GSM5376406","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","Series A is fully contained within larger Series B and has the specific scRNA-se"
"26","GSM5378476","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A is fully contained in B (containment A->B=1.0), making A the smaller/sp","A is fully contained within B and has fewer samples, indicating A is the specifi"
"27","GSM5375716","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.82","A","0.93","TRUE","Series A contains all its samples in B (containment A->B=1.0), making A the smal","Series A is fully contained within the larger Series B (containment A->B=1.0), i"
"28","GSM4543117","GSE150198","GSE150199","GSE150198|GSE150199","FALSE","0.742","1","0.742","0","A","0.85","A","0.93","TRUE","Containment A->B=1.0 means all samples in A are in B, making A the smaller/speci","SRP does not match, so not merge. All A samples are contained in larger B, indic"
"29","GSM5376203","GSE177616","GSE177689","GSE177616|GSE177689","FALSE","0.978","1","0.978","0","A","0.85","A","0.93","TRUE","Series A contains all its samples in B (containment A->B=1.0), making A the smal","Series A is fully contained within larger Series B, and A is the smaller, more s"
"30","GSM4677271","GSE154688","GSE154691","GSE154688|GSE154691","FALSE","0.995","1","0.995","-1","A","0.9","A","0.93","TRUE","Series A is RNA-Seq specific (smaller, 183 samples, has SRP), fully contained in","SRP differs, so not a direct merge. A is fully contained in B and has fewer samp"
